Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_xrai_full_test.pt
v_GolfSwing_g07_c01: 0.8432592821482103
v_GolfSwing_g07_c02: 0.7275752236309927
v_GolfSwing_g07_c03: 0.697495417407481
v_GolfSwing_g07_c04: 0.667279075802071
v_GolfSwing_g07_c05: 0.31679320029797964
v_HorseRiding_g01_c01: 0.9078855262414436
v_HorseRiding_g01_c02: 0.8592453065139125
v_HorseRiding_g01_c03: 0.8172451182545046
v_HorseRiding_g01_c04: 0.8344338218958001
v_HorseRiding_g01_c05: 0.8036715897542308
v_HorseRiding_g01_c06: 0.8687474824764649
v_HorseRiding_g01_c07: 0.8564501236469368
v_HorseRiding_g02_c01: 0.8857248960339348
v_HorseRiding_g02_c02: 0.8996606782820891
v_HorseRiding_g02_c03: 0.9029488574524294
v_HorseRiding_g02_c04: 0.9226469666973571
v_HorseRiding_g02_c05: 0.8537862228040467
v_HorseRiding_g02_c06: 0.8735854354963521
v_HorseRiding_g02_c07: 0.8913846392460982
v_HorseRiding_g03_c01: 0.7205813891996513
v_HorseRiding_g03_c02: 0.8151680465598474
v_HorseRiding_g03_c03: 0.7995208002903382
v_HorseRiding_g03_c04: 0.8232971110192011
v_HorseRiding_g03_c05: 0.8984601741467486
v_HorseRiding_g03_c06: 0.8394749091748963
v_HorseRiding_g03_c07: 0.8820373315174947
v_HorseRiding_g04_c01: 0.7042749923930387
v_HorseRiding_g04_c02: 0.7866559458707343
v_HorseRiding_g04_c03: 0.6339850997828762
v_HorseRiding_g04_c04: 0.8181733260207693
v_HorseRiding_g04_c05: 0.8114185404774616
v_HorseRiding_g04_c06: 0.8387952669800143
v_HorseRiding_g04_c07: 0.8273829393365304
v_HorseRiding_g05_c01: 0.8654320788846235
v_HorseRiding_g05_c02: 0.9076555782739888
v_HorseRiding_g05_c03: 0.8881850861289422
v_HorseRiding_g05_c04: 0.8929888672937523
v_HorseRiding_g05_c05: 0.8387439564612578
v_HorseRiding_g05_c06: 0.8313119722806732
v_HorseRiding_g05_c07: 0.8465251987145166
v_HorseRiding_g06_c01: 0.8929362438429962
v_HorseRiding_g06_c02: 0.8872545549456845
v_HorseRiding_g06_c03: 0.8710204867456923
v_HorseRiding_g06_c04: 0.8308552989547024
v_HorseRiding_g06_c05: 0.9193342732542078
v_HorseRiding_g06_c06: 0.8794068658535252
v_HorseRiding_g06_c07: 0.8796349199765245
v_HorseRiding_g07_c01: 0.7458843751155655
v_HorseRiding_g07_c02: 0.7507425091971527
v_HorseRiding_g07_c03: 0.733687156047381
v_HorseRiding_g07_c04: 0.7632662515898119
v_HorseRiding_g07_c05: 0.7600943056677352
v_HorseRiding_g07_c06: 0.7772538316712598
v_HorseRiding_g07_c07: 0.7713925623611431
v_IceDancing_g01_c01: 0.5089157463953597
v_IceDancing_g01_c02: 0.4538722448487533
v_IceDancing_g01_c03: 0.6471333378431154
v_IceDancing_g01_c04: 0.7560033468034817
v_IceDancing_g01_c05: 0.7288549063232495
v_IceDancing_g01_c06: 0.5172742854774697
v_IceDancing_g01_c07: 0.49779581096663605
v_IceDancing_g02_c01: 0.6537701993220253
v_IceDancing_g02_c02: 0.6078501886659069
v_IceDancing_g02_c03: 0.5718058590282453
v_IceDancing_g02_c04: 0.6322671166126383
v_IceDancing_g02_c05: 0.468877001942019
v_IceDancing_g02_c06: 0.6362999205448432
v_IceDancing_g02_c07: 0.5511991423991276
v_IceDancing_g03_c01: 0.5406742892664624
v_IceDancing_g03_c02: 0.7285474508971674
v_IceDancing_g03_c03: 0.675819977230276
v_IceDancing_g03_c04: 0.6392398132447852
v_IceDancing_g03_c05: 0.8138134926994098
v_IceDancing_g03_c06: 0.6984134349477245
v_IceDancing_g04_c01: 0.502123179656337
v_IceDancing_g04_c02: 0.64442481174774
v_IceDancing_g04_c03: 0.5314472427562578
v_IceDancing_g04_c04: 0.5888379852258367
v_IceDancing_g04_c05: 0.022931267361855134
v_IceDancing_g04_c06: 0.549534485253389
v_IceDancing_g04_c07: 0.5370804218546255
v_IceDancing_g05_c01: 0.7538519886293216
v_IceDancing_g05_c02: 0.5939756839507027
v_IceDancing_g05_c03: 0.7459423090767814
v_IceDancing_g05_c04: 0.7509123457566602
v_IceDancing_g05_c05: 0.7178534078848315
v_IceDancing_g05_c06: 0.7292809202772332
v_IceDancing_g06_c01: 0.658524108628626
v_IceDancing_g06_c02: 0.6277793171320809
v_IceDancing_g06_c03: 0.768327451121877
v_IceDancing_g06_c04: 0.688694931610371
v_IceDancing_g06_c05: 0.5805527707998408
v_IceDancing_g06_c06: 0.4818588360649301
v_IceDancing_g07_c01: 0.7082786451064749
v_IceDancing_g07_c02: 0.6341664724022849
v_IceDancing_g07_c03: 0.6989855904103024
v_IceDancing_g07_c04: 0.653245066801901
v_IceDancing_g07_c05: 0.6997955001861556
v_IceDancing_g07_c06: 0.6591982855898095
v_IceDancing_g07_c07: 0.6649230311595602
v_LongJump_g01_c01: 0.7474223198241816
v_LongJump_g01_c02: 0.703078483684294
v_LongJump_g01_c03: 0.8421557939018385
v_LongJump_g01_c04: 0.7798281549348758
v_LongJump_g01_c05: 0.6890952368139551
v_LongJump_g01_c06: 0.7245089947118686
v_LongJump_g01_c07: 0.7155341859779583
v_LongJump_g02_c01: 0.7614887088875548
v_LongJump_g02_c02: 0.811606434859641
v_LongJump_g02_c03: 0.7985114725179301
v_LongJump_g02_c04: 0.8045532156120316
v_LongJump_g02_c05: 0.8141313395335601
v_LongJump_g03_c01: 0.4914319689723925
v_LongJump_g03_c02: 0.5331066700036899
v_LongJump_g03_c03: 0.3043230695056991
v_LongJump_g03_c04: 0.5418408843561338
v_LongJump_g03_c05: 0.4514102607372479
v_LongJump_g03_c06: 0.44320641456761223
v_LongJump_g04_c01: 0.6641387359577493
v_LongJump_g04_c02: 0.6995429289399908
v_LongJump_g04_c03: 0.7037266159768478
v_LongJump_g04_c04: 0.6558794972825126
v_LongJump_g04_c05: 0.6766877316276805
v_LongJump_g04_c06: 0.6749946111685858
v_LongJump_g04_c07: 0.7685489035084174
v_LongJump_g05_c01: 0.18881592169236683
v_LongJump_g05_c02: 0.5245285701112152
v_LongJump_g05_c03: 0.3641961044504569
v_LongJump_g05_c04: 0.7188843863423244
v_LongJump_g05_c05: 0.5688982028386818
v_LongJump_g06_c01: 0.33959773239803326
v_LongJump_g06_c02: 0.5510463635309861
v_LongJump_g06_c03: 0.3646435234568344
v_LongJump_g06_c04: 0.4827094299125747
v_LongJump_g07_c01: 0.4638431311923341
v_LongJump_g07_c02: 0.5872438594105915
v_LongJump_g07_c03: 0.336077681497045
v_LongJump_g07_c05: 0.43380496696227056
v_PoleVault_g01_c01: 0.6015224933726131
v_PoleVault_g01_c02: 0.6809473218963831
v_PoleVault_g01_c03: 0.7437638905466883
v_PoleVault_g01_c04: 0.6155392860164284
v_PoleVault_g01_c05: 0.4546844691139995
v_PoleVault_g02_c01: 0.6365495088612079
v_PoleVault_g02_c02: 0.6517858656225144
v_PoleVault_g02_c03: 0.5830779843599885
v_PoleVault_g02_c04: 0.6331130785038113
v_PoleVault_g02_c05: 0.5516221939687966
v_PoleVault_g02_c06: 0.6941132498541265
v_PoleVault_g02_c07: 0.667185261110717
v_PoleVault_g03_c01: 0.6930818114997237
