Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_g_full_test.pt
85534: 0.10344678395813389
127667: 0.00912351180522819
195911: 0.2805633904081333
190267: 0.043881363912078086
202258: 0.37163684581173584
76365: 0.012545799821964465
55373: 0.04340763892469113
55733: 0.4726214745496691
37952: 0.6901240027873428
99490: 0.00275542551480612
207898: 0.004998803808121011
189156: 0.08179565848695347
158643: 0.023301214016100857
33400: 0.306872116158047
110861: 0.6885861373048101
168741: 0.07355732138967142
137162: 0.6634362008844619
27026: 0.5036669452529168
126202: 0.016643867632183174
159740: 0.046334830823980155
190860: 0.02541841779020615
113048: 0.030616089497925714
29155: 0.2556280944845639
196274: 0.296088133516605
87192: 0.38095568499920773
108021: 0.00022209017060959013
25377: 0.5414796025725082
8220: 0.016769980878962087
78887: 0.45642461619536334
12511: 0.13654685525398236
186888: 0.17957569648933713
65315: 0.13510126553592272
24107: 0.1184564292543655
16984: 0.12195598057587631
15038: 0.2221371391642606
62082: 0.08872460098427837
115190: 0.010795318523435071
128653: 0.011071322853240417
146367: 0.30508409547110205
82961: 0.08913541533729585
43853: 0.058338920047390275
22383: 0.10093954623516765
187004: 0.2641873413522262
209640: 0.46494444160634885
108361: 0.17631437077579903
149791: 0.4718465601999924
2403: 0.1818497074309562
175728: 0.012970339303137735
175300: 0.014496433581371093
109310: 0.36411902376130456
36015: 0.5046154742958606
218395: 0.0076121927122585475
176519: 0.04170545022498118
134378: 0.133342129214725
139854: 0.20179010731590097
31875: 0.04933089947371627
89241: 0.01932079412654275
162638: 0.0019633753108792007
205413: 0.445318855207006
233: 0.34443033199022466
161965: 0.25114046518865507
214289: 0.09437681957206223
25820: 0.10118096479709493
132103: 0.7718777570407838
24760: 0.09045304842038604
111689: 0.0005405207307376259
107735: 0.10212532402510988
5570: 0.9660723126435187
164364: 0.9407249863725156
60290: 0.00021937327550602959
144706: 0.10292172915069386
207555: 0.006960279000850278
114673: 0.1941075617869501
76825: 0.6331521510746825
89811: 0.025123212748439983
4372: 0.4531049263150635
52930: 0.1565575673685089
209457: 0.17304613863962004
18492: 0.004718752548797056
118858: 0.07204551639733836
185520: 0.5520757487829542
3020: 0.04756946553243324
45088: 0.11431852417263144
166000: 0.005474673733260715
8643: 0.03115329523643595
171666: 0.012863579124314128
105033: 0.0348100634473667
216074: 0.38661933964795026
107629: 0.22754248137425748
159862: 0.026963912358041853
100917: 0.053843922481974005
94286: 0.00021982579045243256
45193: 0.23578299425025762
27595: 0.32454363473152625
83332: 0.017648843164352
61892: 0.002823572973284172
70679: 0.4113489954470424
89640: 0.007490063293516869
215140: 0.14842186796158785
192997: 0.4633730539808312
85790: 0.015804769250280515
142742: 0.4593993436501478
197873: 0.0003209835128359373
161313: 0.3535890672774258
151187: 0.628640282959168
67155: 0.4349919572232466
77129: 0.14264511172223138
195652: 0.1751029657334584
137210: 0.02194029883321491
69033: 0.8117072881886997
65141: 0.9879992825444788
96935: 0.07707680649582471
98601: 0.446459309758211
88138: 0.5192836070636986
183695: 0.15028014782001264
62631: 0.21847640403939295
15130: 0.04224383480323013
127476: 0.08426142403186532
210861: 0.7239174014321179
72569: 0.0018361616057518404
117774: 0.06240615452406928
172962: 0.14880644464938086
65326: 0.8031062258542079
209204: 0.008110919909086078
177434: 0.43625646127293294
120309: 0.14335258788923966
70601: 0.43779448949499056
72143: 0.2664333255379461
95559: 0.05581769462514785
163013: 0.0575505178894673
176988: 0.07715688985263114
132594: 0.24475975026143715
154707: 0.08347219658389804
57188: 0.24198475999219227
158303: 0.09802209355984814
217331: 0.12166614708439738
212382: 0.5182388952671317
197612: 0.2180521767877508
101804: 0.16251211760027218
49546: 0.11002252863181639
195639: 0.3507697901586653
49358: 0.004032906138490944
49163: 0.08542686769578722
87265: 0.01981665942003019
