Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_perturb_full_test_summed.pt
154208: 7.448567617851509e-05
136037: 0.12227530494763336
42148: 0.14690850222859098
107976: 0.0008708431804937966
19088: 0.00011228026312481987
56440: 0.1936509027492761
62609: 0.03440483321338128
88011: 0.009462149665750985
8233: 0.8529442175435352
145547: 0.0820305206824945
131243: 0.5189855980129323
213998: 0.0012066540165314443
209962: 0.5206466703122559
70366: 0.12347027957015921
216476: 0.013965516870117156
621: 0.7213466093453462
3043: 0.6804271470278414
90590: 0.2653605229106464
216515: 0.02358247371739708
81964: 0.2780746337628254
154473: 0.005266992096384399
209868: 0.13226762753038201
161387: 0.7078349106889164
15069: 0.002932917625217968
30116: 0.2225813340339755
61086: 0.10543964552032214
74711: 0.23501861806971647
197927: 0.55883128949813
82480: 0.6701761288512049
175539: 0.00021200630504836226
190654: 0.21134718396667684
46199: 0.42906931857578456
104293: 0.050146137085427256
15037: 0.005997065524316059
40642: 0.10204332790425497
219692: 0.029016687688422138
133571: 4.1540079322222034e-05
72239: 0.05877197493791517
15646: 0.0002919981273135641
138354: 0.0017445071458840472
183275: 0.09273545854375698
184282: 0.46803851608973446
102318: 0.00018364390289008306
44822: 0.6121737514145584
21912: 0.05480261065106451
194603: 0.9070410609812669
113764: 0.06166941747239851
79414: 0.014347397468378986
211101: 0.3971634181879271
156528: 0.3751668413157887
193535: 0.7246966348876182
13823: 0.043579065127680394
68496: 0.027257545953261797
25701: 0.0016430212561644453
80510: 0.000965472862161902
37956: 3.599614441771731e-05
192357: 0.04831152348535028
32312: 0.07318274060273532
73312: 0.5180441582053845
133366: 0.6076474231667817
94262: 0.0002800653188163027
169820: 0.008229197060103388
118021: 0.09723563626916398
82433: 0.0022607010902788716
30636: 0.07726288695919978
33816: 0.00014918913994847044
14747: 0.3689881288600876
96214: 0.007931521785360829
133202: 0.010199737368910916
172967: 0.03724627506030043
133777: 0.0008380381782611135
144230: 0.7565746544962011
219091: 0.0055712885845071725
65987: 0.32277011181311044
139431: 0.26838496407197354
105671: 0.1296658066602091
73115: 0.20954240288742199
56568: 0.36949764062353907
154513: 0.00023458982230197196
22348: 0.0043106801654815285
220644: 0.2768350791416379
14898: 0.8686549676726091
137786: 0.11528981779276937
195811: 0.11506688741815196
77709: 0.0017950419929722017
16429: 0.9427960724724247
109224: 0.32304393372507756
153031: 0.045531109819421545
74717: 0.0005453099000317652
46326: 0.026645817356999335
10108: 0.00543118629257755
103665: 0.2598406173118235
113093: 0.38018914754502475
214483: 0.0002883470246709541
179463: 0.05188819614172502
115323: 0.5666501494103375
218178: 0.6655331971102658
144486: 0.7444028744918558
114099: 0.7240963709914467
211484: 0.1205101565557456
117770: 0.8162400149719122
219866: 0.5139392954451754
136583: 0.03126808471901654
