Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_g_full_test.pt
174205: 0.5476731675585143
122269: 0.001462530781778354
181337: 0.00030932116264331677
122018: 0.5047048347301097
130900: 0.2493419944123364
174056: 0.13197266440283073
14314: 0.5014522419366347
161938: 0.1304841367506686
157723: 0.07844220381029032
79521: 0.7768496967760257
76782: 0.0007278006009276972
28803: 0.0013089450788595913
107092: 1.127794439526042e-05
115694: 0.7591860210229129
102120: 0.14486125164525987
9668: 0.027283630585334395
28005: 0.36324015181162395
2970: 8.133685298739035e-05
206935: 0.006794176923619943
69952: 0.3184856430105416
160396: 0.23607557694799652
80240: 0.15971078950467232
9254: 0.03034441239631555
156862: 5.451104500242554e-05
126799: 0.00023099871229748103
98251: 0.6040813176800839
90413: 0.06890866015925123
127410: 0.00595155149241898
32472: 0.0005960287760657934
93316: 0.017425141838240954
31139: 0.5129930748748112
34688: 0.09953841051517806
182466: 0.22582963569908454
206480: 0.001142706806806268
109488: 0.0009220834070893247
206039: 0.011857049786050594
154208: 0.00011974109935275479
136037: 0.1445470126016327
42148: 0.25526389027390195
107976: 0.006187134359536106
19088: 0.0008527850067143738
56440: 0.02750686326739782
62609: 0.06670080159693192
88011: 0.08941967398027373
8233: 0.8064285143422413
145547: 0.13785617882506118
131243: 0.6937405752391896
213998: 0.00405751693495307
209962: 0.0049277045210900094
70366: 0.2691100716548531
216476: 0.0016954313565253898
621: 0.8189409301194246
3043: 0.4489548038214357
90590: 0.010289273120156678
216515: 0.019853839970892295
81964: 0.3264805194592365
154473: 0.00553283579700195
209868: 0.22669215839414392
161387: 0.8194348924737369
15069: 0.0025065716547363337
30116: 0.5488379370365237
61086: 0.026351214668624223
74711: 0.25752123411757566
197927: 0.5115337521713172
82480: 0.5978445811140833
175539: 0.0018369578661463493
190654: 0.14849228301052297
46199: 0.8662884912919253
104293: 0.11493138661669633
15037: 0.007638494088059888
40642: 0.013596347561986022
219692: 0.07114167247433656
133571: 5.843651545867079e-05
72239: 0.007773275086581072
15646: 0.0062040417181106755
138354: 9.495854068321263e-05
183275: 0.10194576196954586
184282: 0.20379217152338924
102318: 0.0003581848273805125
44822: 0.5661574755318375
21912: 0.014453941137004489
194603: 0.8076143146128587
113764: 0.23607775643638396
79414: 0.0051178929650692595
211101: 0.25804695214254747
156528: 0.40197590784983106
193535: 0.5623577224005881
13823: 0.037855830861637685
68496: 0.004904096116888468
25701: 0.01103516238784863
80510: 0.00018559944714905807
37956: 1.9718415699011838e-05
192357: 2.3394804626097887e-05
32312: 0.0441901063361204
73312: 0.6452677094787305
133366: 0.259241018909961
94262: 3.493807396381943e-05
169820: 0.0073984545295786575
118021: 0.1491970880380391
82433: 0.005546813190164812
30636: 0.0011653855173634209
33816: 6.84371308238424e-06
14747: 0.16841483350524442
96214: 0.006865113665265099
133202: 0.015466400055974133
172967: 0.03629346501124342
133777: 0.001779787840421987
144230: 0.7901030420427404
219091: 0.1001034300464756
65987: 0.5457835724492494
139431: 0.24765592893288968
105671: 0.05659168563202422
73115: 0.4700782242060484
56568: 0.48089264203497706
154513: 0.00013934149808749114
22348: 0.0021533333543359845
220644: 0.28721680755235873
14898: 0.8534661544630754
137786: 0.014787748684581214
195811: 0.19190767554414379
77709: 0.005132002093541033
16429: 0.5360731692207767
109224: 0.2512274595257825
153031: 0.05842176536680199
74717: 0.0005027828590994377
46326: 0.007716454128618655
10108: 0.013851704426366851
103665: 0.21778802050434365
113093: 0.7121086984407157
214483: 1.2789746924979362e-05
179463: 0.014767385431831315
115323: 0.9353273482972089
218178: 0.6616185428553525
144486: 0.7554028520805094
114099: 0.8203759921157143
211484: 0.03674289892492055
117770: 0.7674492620841864
219866: 0.2123104375941469
136583: 0.056810709013774385
91152: 0.3497372602557096
72127: 0.3415699183289611
87330: 1.5160072000752756e-05
163401: 0.000689966437726508
129246: 0.29200545520893684
70330: 0.615746021192007
99362: 0.05553706514805867
201763: 0.19543442973674818
180544: 0.6020445864126032
174303: 0.47574049922650374
23234: 0.2755934382732903
154348: 0.21114347724917032
169687: 0.002430791271150423
21859: 0.3237270805963579
124127: 0.0017531168726668822
104101: 0.06075003134430923
69096: 0.34130483697987213
23209: 0.34373406188342415
175751: 0.33004176346025815
67666: 0.071536839633767
34480: 0.003007083692081136
18022: 0.32176795035176753
34190: 0.30113352983722663
197983: 0.23692426696089264
83014: 0.013262457035403408
217361: 0.2502000265233164
63033: 0.005485883038913397
217275: 0.48473256398362885
94488: 0.028038910337096823
138482: 0.11552607603806139
151981: 0.002062539773244082
50271: 0.2353528179830922
154023: 0.0392279075451068
15156: 0.10419222943657502
4441: 0.0031108193630343117
62548: 0.03213019694959485
11164: 0.3706897024276259
107584: 0.1283181041932977
71742: 0.0002126216163106931
442: 0.7260084953855039
182807: 0.0011754512685004659
180728: 0.0004325959733489926
7168: 0.08945171515457773
121865: 0.07950661535882642
153700: 0.6022998207192813
203910: 0.10824305872240647
93623: 0.0015392530978477481
30725: 0.14351116759432792
18846: 0.021820056521522524
5207: 0.24553656080388464
19993: 0.07656443858257944
83822: 0.02768961750091181
26164: 0.000428835859342086
154372: 0.017153128504480475
56648: 0.02660156995009154
45340: 0.23770352467545308
115880: 0.3382645678650533
145254: 0.007204871746283814
22759: 0.16473571763360617
190342: 0.9922139388509095
