Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_test_summed.pt
34688: 0.3799320623602398
182466: 0.6444208188186167
206480: 0.05112904183988576
109488: 0.040980557605507784
206039: 0.03967122417088831
154208: 0.004744578222016571
136037: 0.13063925424103218
42148: 0.6474155033229181
107976: 0.1945057365919638
19088: 0.01426291536699864
56440: 0.21334530379681382
62609: 0.0794141783262603
88011: 0.006441680478019407
8233: 0.4769856001730659
145547: 0.28168868373541045
131243: 0.9071879825096403
213998: 0.006190823623910546
209962: 0.3114676393870468
70366: 0.24092822288002935
216476: 0.007948542073221265
621: 0.8116889202501625
3043: 0.8856328818219481
90590: 0.038640724240394775
216515: 0.005499719380168244
81964: 0.04861319985684531
154473: 0.2238899849307927
209868: 0.40598236746154726
161387: 0.6141946348216152
15069: 0.014027441200596513
30116: 0.3227496212202823
61086: 0.1137405843110173
74711: 0.7698784959430895
197927: 0.04515044250001665
82480: 0.43878677272005007
175539: 0.033300681941909716
190654: 0.8241019171618973
46199: 0.8452352397143841
104293: 0.0031323303428507643
15037: 0.1909883921398432
40642: 0.3726915262523107
219692: 0.11506100700353272
133571: 0.10529309334378922
72239: 0.014365648576131207
15646: 0.01778289500362007
138354: 0.0014012975098012248
183275: 0.08573476088349707
184282: 0.556690480269026
102318: 0.04335796827217564
44822: 0.8324556510633556
21912: 0.002870159905796754
194603: 0.218496355753814
113764: 0.12805888726870762
79414: 0.15304088074481115
211101: 0.045007341368545895
156528: 0.09566398005699739
193535: 0.29536808579723584
13823: 0.27995562243631866
68496: 0.1338944958843058
25701: 0.004463699989742054
80510: 0.0002981193638191826
37956: 0.13407478421140695
192357: 0.49136121021729195
32312: 0.05298394117926364
73312: 0.4556507549568778
133366: 0.7486591076012701
94262: 0.06997202590719098
169820: 0.07558917932874465
118021: 0.24081269208181766
82433: 0.06518650632642675
30636: 0.032567498537900974
33816: 0.13247842269629473
14747: 0.05612909988849424
96214: 0.5467408692347817
133202: 0.09838312525062065
172967: 0.010122701585714822
133777: 0.7142203263229021
144230: 0.01807206469857192
219091: 0.08201943202948314
65987: 0.20544013771723257
139431: 0.17227202774483885
105671: 0.2781749845617014
73115: 0.17258177945586795
56568: 0.03004494080778386
154513: 4.092111000358889e-05
22348: 0.002879382534345609
220644: 0.48075158501887927
14898: 0.9046018038425245
137786: 0.04814935535614495
195811: 0.0522974303967203
77709: 0.049063813930843025
16429: 0.7728393038050854
109224: 0.07186176012692158
153031: 0.06153347415965982
74717: 0.01177505250689137
46326: 0.514929315635527
10108: 0.23261308221844956
103665: 0.33452753621349984
