Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_core5_test_summed.pt
Use 4 GPUs!
('139242', '208136', '77933', '60678', '125118', '133738', '104179', '141930', '58849', '9116', '18518', '208019', '59701', '160867', '120824', '19680', '206826', '79321', '89328', '117570', '170391', '70174', '182726', '215032', '52914', '130003', '62316', '118582', '75836', '31938', '13332', '25472', '87638', '148093', '201342', '113500', '121337', '199113', '67174', '63822', '88299', '47054', '113521', '61572', '49072', '185945', '186837', '12229') tensor([19, 18, 24,  7, 11,  7,  7, 22, 14, 20,  2,  7, 22, 23, 20, 16,  7,  8,
67692: 0.003159887297442765
176333: 0.5192646462346602
9373: 0.3473791488795541
128081: 0.0004762139315062086
8444: 0.023209338978631422
160198: 0.8398773734807037
33525: 0.6901808364286808
('187807', '24441', '198481', '98916', '114265', '10768', '174741', '115530', '172284', '162876', '8445', '110043', '1694', '54977', '178202', '95108', '212969', '135196', '141975', '17202', '148848', '2060', '188919', '22357', '64089', '68883', '179063', '214793', '631', '131466', '185267', '67512', '64031', '101323', '139224', '206775', '55758', '178806', '38951', '111220', '47357', '139250', '177197', '175664', '33679', '6357', '205364', '199597') tensor([13,  6,  4,  3, 24,  1, 21, 22,  1,  7, 18, 23, 18, 12, 17,  0,  5, 18,
        19, 14,  1, 21, 10,  5,  6, 23, 11,  1,  6,  4, 10, 11,  5, 14, 11, 11,
         5, 23, 11,  1,  7,  8, 10, 17, 10, 19,  1,  6]) ('Squeezing something', 'Taking one of many similar things on the table', 'Something falling like a feather or paper', 'Turning something upside down', 'Lifting something with something on it', 'Plugging something into something', 'Pushing something so that it slightly moves', 'Moving something and something closer to each other', 'Plugging something into something', 'Moving something up', 'Pouring something into something', 'Showing something to the camera', 'Pouring something into something', 'Moving something down', 'Folding something', 'Tearing something into two pieces', 'Tearing something just a little bit', 'Pouring something into something', 'Pushing something so that it falls off the table', 'Putting something on a surface', 'Plugging something into something', 'Pushing something so that it slightly moves', 'Something falling like a rock', 'Tearing something just a little bit', 'Taking one of many similar things on the table', 'Showing something to the camera', 'Uncovering something', 'Plugging something into something', 'Taking one of many similar things on the table', 'Something falling like a feather or paper', 'Something falling like a rock', 'Uncovering something', 'Tearing something just a little bit', 'Putting something on a surface', 'Uncovering something', 'Uncovering something', 'Tearing something just a little bit', 'Showing something to the camera', 'Uncovering something', 'Plugging something into something', 'Moving something up', 'Opening something', 'Something falling like a rock', 'Folding something', 'Something falling like a rock', 'Pushing something so that it falls off the table', 'Plugging something into something', 'Taking one of many similar things on the table')
187807: 0.0121712136460701
24441: 0.005722709214751376
198481: 0.905586555993068
98916: 0.2119587947599939
114265: 0.879457397153601
10768: 0.019687135856656823
174741: 0.022195440553332446
115530: 0.5225730349279729
172284: 0.1366393194257398
162876: 0.1295800585357938
8445: 0.551137453665433
110043: 0.016455313664209825
1694: 0.7873728438498802
54977: 0.07860130842891522
178202: 0.228146445544553
95108: 0.9050065776755218
212969: 0.06514698261889862
135196: 0.09968170292995637
141975: 0.1929054138954598
17202: 0.0023753532441332936
148848: 0.035542788718885276
2060: 0.00039040854403538106
188919: 0.22220036390353926
22357: 0.22010665731068002
64089: 0.14576722228594008
68883: 0.04574981902260333
179063: 0.12972419428115245
214793: 0.6259839942867984
631: 0.0005294798746717788
131466: 0.5436202931887237
185267: 0.11039748069015332
67512: 0.018360029673203826
64031: 0.21481090196903097
101323: 0.008269812769867713
139224: 0.006966490145714488
206775: 0.002926977969764266
55758: 0.09300650581280934
178806: 0.0025963265215978026
38951: 0.0601709637849126
111220: 0.6558385613097926
47357: 0.19414715553284623
139250: 0.00011949769998409465
177197: 0.03711839349125512
175664: 0.93498109637585
33679: 0.3122934724960942
6357: 0.2172357875160742
205364: 0.8846670815910329
199597: 0.028305924159212736
('195930', '27300', '13187', '111324', '128292', '171019', '41263', '116055', '185504', '204813', '113076', '108618', '33231', '214974', '110371', '118694', '4949', '148805', '86201', '16369', '85207', '59063', '108589', '140464', '63757', '126522', '103941', '202780', '42455', '11747', '130929', '94196', '62715', '151963', '47092', '188772', '143509', '142966', '196208', '32036', '83546', '163062', '102714', '209669', '3160', '219137', '192999', '189956') tensor([20,  9,  2, 17,  3, 10, 14, 19,  0, 19,  6, 21,  0, 22,  3,  3, 17, 16,
         4,  0, 12, 23,  3, 19,  7, 21, 15, 12,  5, 17, 17, 20,  5, 12, 23,  5,
        18,  7, 14, 20, 15, 16,  8, 16,  4, 21,  8, 24]) ('Showing that something is empty', 'Stuffing something into something', 'Covering something with something', 'Folding something', 'Turning something upside down', 'Something falling like a rock', 'Putting something on a surface', 'Pushing something so that it falls off the table', 'Tearing something into two pieces', 'Pushing something so that it falls off the table', 'Taking one of many similar things on the table', 'Pushing something so that it slightly moves', 'Tearing something into two pieces', 'Moving something and something closer to each other', 'Turning something upside down', 'Turning something upside down', 'Folding something', 'Putting something similar to other things that are already on the table', 'Something falling like a feather or paper', 'Tearing something into two pieces', 'Moving something down', 'Showing something to the camera', 'Turning something upside down', 'Pushing something so that it falls off the table', 'Moving something up', 'Pushing something so that it slightly moves', 'Putting something into something', 'Moving something down', 'Tearing something just a little bit', 'Folding something', 'Folding something', 'Showing that something is empty', 'Tearing something just a little bit', 'Moving something down', 'Showing something to the camera', 'Tearing something just a little bit', 'Pouring something into something', 'Moving something up', 'Putting something on a surface', 'Showing that something is empty', 'Putting something into something', 'Putting something similar to other things that are already on the table', 'Opening something', 'Putting something similar to other things that are already on the table', 'Something falling like a feather or paper', 'Pushing something so that it slightly moves', 'Opening something', 'Lifting something with something on it')
195930: 0.5379189618397504
27300: 0.5555192128595081
13187: 0.6797075080612558
111324: 0.8765102756005945
128292: 0.13380604897247395
171019: 0.00034887654609860874
41263: 0.20907157866531634
116055: 0.0012147577790528885
185504: 0.7750878408041899
204813: 0.09902159285320522
113076: 0.49484686019059154
108618: 0.18538263418304268
33231: 0.7973765569695388
214974: 0.9312769502371339
110371: 0.21486370343336603
118694: 0.6277267610057606
4949: 0.3914925687276991
148805: 0.29078946191293653
86201: 0.42367429558362346
16369: 0.8878714973761817
85207: 0.2607573501591105
59063: 0.03391194075811654
108589: 0.6454115117303445
140464: 0.0007723012158749043
63757: 0.0936405572865624
126522: 0.011902344922418706
103941: 0.004924713626678567
