Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_sg2_full.pt
v_HorseRiding_g03_c07: 0.09182095056854364
v_HorseRiding_g04_c01: 0.09411561065243454
v_HorseRiding_g04_c02: 0.10716205786942966
v_HorseRiding_g04_c03: 0.05758418997852352
v_HorseRiding_g04_c04: 0.010480463020796851
v_HorseRiding_g04_c05: 0.05418891557968977
v_HorseRiding_g04_c06: 0.048651178741431614
v_HorseRiding_g04_c07: 0.04843500560134884
v_HorseRiding_g05_c01: 0.24699164937272317
v_HorseRiding_g05_c02: 0.14406472419601257
v_HorseRiding_g05_c03: 0.18539312808943076
v_HorseRiding_g05_c04: 0.19688657159352396
v_HorseRiding_g05_c05: 0.2088496276566128
v_HorseRiding_g05_c06: 0.08262520768921676
v_HorseRiding_g05_c07: 0.06955656196599401
v_HorseRiding_g06_c01: 0.10784474295365998
v_HorseRiding_g06_c02: 0.16181168029099469
v_HorseRiding_g06_c03: 0.10718459640372927
v_HorseRiding_g06_c04: 0.125561612078876
v_HorseRiding_g06_c05: 0.0933622260115982
v_HorseRiding_g06_c06: 0.14765344406148112
v_HorseRiding_g06_c07: 0.13559670334197874
v_HorseRiding_g07_c01: 0.18914838872967274
v_HorseRiding_g07_c02: 0.08818019490953036
v_HorseRiding_g07_c03: 0.10246043292966885
v_HorseRiding_g07_c04: 0.20390420165059603
v_HorseRiding_g07_c05: 0.11500715316221939
v_HorseRiding_g07_c06: 0.10642319892745787
v_HorseRiding_g07_c07: 0.07681819701229962
v_IceDancing_g01_c01: 0.03520111304773824
v_IceDancing_g01_c02: 0.0366349971127205
v_IceDancing_g01_c03: 0.061796249829115364
v_IceDancing_g01_c04: 0.07064971702510682
v_IceDancing_g01_c05: 0.06283246156004235
v_IceDancing_g01_c06: 0.08073447327180876
v_IceDancing_g01_c07: 0.06392024186857807
v_IceDancing_g02_c01: 0.08411223516894842
v_IceDancing_g02_c02: 0.07074177639896241
v_IceDancing_g02_c03: 0.1039831044563041
v_IceDancing_g02_c04: 0.08696158921830063
v_IceDancing_g02_c05: 0.07052515880534733
v_IceDancing_g02_c06: 0.10147439259449094
v_IceDancing_g02_c07: 0.11358378134579875
v_IceDancing_g03_c01: 0.014481391017068558
v_IceDancing_g03_c02: 0.0672794411428214
v_IceDancing_g03_c03: 0.06794084572621922
v_IceDancing_g03_c04: 0.039850082681110996
v_IceDancing_g03_c05: 0.04642230295026162
v_IceDancing_g03_c06: 0.060781553732304594
v_IceDancing_g04_c01: 0.13011785472677215
v_IceDancing_g04_c02: 0.055857634677837685
v_IceDancing_g04_c03: 0.08239279135211011
v_IceDancing_g04_c04: 0.053485756541976306
v_IceDancing_g04_c05: 0.005608547794243951
v_IceDancing_g04_c06: 0.047962605241891436
