Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_perturb_full_core8_summed.pt
v_CliffDiving_g05_c04: 0.29006734341965057
v_CliffDiving_g05_c05: 0.9228084605711047
v_CliffDiving_g05_c06: 0.9717656708380673
v_CliffDiving_g05_c07: 0.9764731164614204
v_CliffDiving_g06_c01: 0.9137202234996948
v_CliffDiving_g06_c02: 0.9108755028864834
v_CliffDiving_g06_c03: 0.8990385415090714
v_CliffDiving_g06_c04: 0.7942586961726192
v_CliffDiving_g06_c05: 0.9247020696348045
v_CliffDiving_g06_c06: 0.9137229692714754
v_CliffDiving_g06_c07: 0.9432818246132229
v_CliffDiving_g07_c01: 0.969375876855338
v_CliffDiving_g07_c02: 0.9904919528926257
v_CliffDiving_g07_c03: 0.974534595530713
v_CliffDiving_g07_c04: 0.9435133814404253
v_CliffDiving_g07_c05: 0.9830177043622825
v_CliffDiving_g07_c06: 0.7880109014513437
v_CricketBowling_g01_c01: 0.9781455460251891
v_CricketBowling_g01_c02: 0.9827302247067564
v_CricketBowling_g01_c03: 0.9817915346720838
v_CricketBowling_g01_c04: 0.9834182495033019
v_CricketBowling_g01_c05: 0.9854939973229193
v_CricketBowling_g01_c06: 0.9822368842797005
v_CricketBowling_g01_c07: 0.9750155922738486
v_CricketBowling_g02_c01: 0.5556854106034734
v_CricketBowling_g02_c02: 0.6462764728130423
v_CricketBowling_g02_c03: 0.8948045146898949
v_CricketBowling_g02_c04: 0.6447756273919367
v_CricketBowling_g02_c05: 0.8706776031540358
v_CricketBowling_g02_c06: 0.8038188842838281
v_CricketBowling_g02_c07: 0.7368917595376843
v_CricketBowling_g03_c01: 0.17121925723040476
v_CricketBowling_g03_c02: 0.17549092099216068
v_CricketBowling_g03_c03: 0.3691231558113941
v_CricketBowling_g03_c04: 0.34227495708182687
v_CricketBowling_g04_c01: 0.7794057512437575
v_CricketBowling_g04_c02: 0.3234342339928844
v_CricketBowling_g04_c03: 0.5482909963247948
v_CricketBowling_g04_c04: 0.493589114608767
v_CricketBowling_g04_c05: 0.5072592717842781
v_CricketBowling_g05_c01: 0.9722950039213174
v_CricketBowling_g05_c02: 0.9797799340230995
v_CricketBowling_g05_c03: 0.9848535177079611
v_CricketBowling_g05_c04: 0.9819703036700957
v_CricketBowling_g06_c01: 0.7881094477852457
v_CricketBowling_g06_c02: 0.931269086409884
v_CricketBowling_g06_c03: 0.8842982926653349
