Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core8_fade_test_summed.pt
v_Diving_g04_c04: 0.4665609725501554
v_Diving_g04_c05: 0.6812449844304638
v_Diving_g04_c06: 0.5613476761367338
v_Diving_g04_c07: 0.6351295250218527
v_Diving_g05_c01: 0.5325295456435697
v_Diving_g05_c02: 0.5558632739570157
v_Diving_g05_c03: 0.5367675550963895
v_Diving_g05_c04: 0.5791280993011014
v_Diving_g05_c05: 0.5664391644980924
v_Diving_g05_c06: 0.5364470609214322
v_Diving_g06_c01: 0.5450989135291593
v_Diving_g06_c02: 0.46717749319338964
v_Diving_g06_c03: 0.5281677373435514
v_Diving_g06_c04: 0.6041594871070401
v_Diving_g06_c05: 0.4771696412220763
v_Diving_g06_c06: 0.5792611368682401
v_Diving_g06_c07: 0.5288497932937162
v_Diving_g07_c01: 0.5709152349021451
v_Diving_g07_c02: 0.6220685966994779
v_Diving_g07_c03: 0.46688713242599533
v_Diving_g07_c04: 0.5895534895111041
v_Fencing_g01_c01: 0.49912400157609227
v_Fencing_g01_c02: 0.33497810955577734
v_Fencing_g01_c03: 0.2814970867284501
v_Fencing_g01_c04: 0.36389039163896086
v_Fencing_g01_c05: 0.0996585556813443
v_Fencing_g01_c06: 0.468137563536402
v_Fencing_g02_c01: 0.6480913887307906
v_Fencing_g02_c02: 0.7438114377246166
v_Fencing_g02_c03: 0.6676591130481029
v_Fencing_g02_c04: 0.761087134810623
v_Fencing_g02_c05: 0.7268326374278331
v_Fencing_g03_c01: 0.5791927123018468
v_Fencing_g03_c02: 0.4449581891340131
v_Fencing_g03_c03: 0.584925660728004
v_Fencing_g03_c04: 0.606152901290443
v_Fencing_g03_c05: 0.5998774858699107
v_Fencing_g04_c01: 0.5157783854328954
v_Fencing_g04_c02: 0.6118147464976573
v_Fencing_g04_c03: 0.6390578242526317
v_Fencing_g04_c04: 0.7175698968158031
v_Fencing_g04_c05: 0.606571385501411
v_Fencing_g05_c01: 0.6461816372857356
v_Fencing_g05_c02: 0.7623597912997866
v_Fencing_g05_c03: 0.6716781946406627
v_Fencing_g05_c04: 0.5659363722470516
v_Fencing_g05_c05: 0.7712146731601024
v_Fencing_g06_c01: 0.6824705292046929
v_Fencing_g06_c02: 0.6160598589149231
v_Fencing_g06_c03: 0.6937787498854959
v_Fencing_g06_c04: 0.7110834765289837
v_Fencing_g07_c01: 0.6942006441340709
v_Fencing_g07_c02: 0.7265258527868355
v_Fencing_g07_c03: 0.7962062459946537
v_Fencing_g07_c04: 0.6602762442589665
v_FloorGymnastics_g01_c01: 0.5396108807309901
v_FloorGymnastics_g01_c02: 0.6684038819059168
v_FloorGymnastics_g01_c03: 0.5069959939702784
v_FloorGymnastics_g01_c04: 0.575051623700503
v_FloorGymnastics_g01_c05: 0.5670452893956934
v_FloorGymnastics_g02_c01: 0.5227289505548214
v_FloorGymnastics_g02_c02: 0.5990819696582292
v_FloorGymnastics_g02_c03: 0.5469030780497377
v_FloorGymnastics_g02_c04: 0.5134695356957053
v_FloorGymnastics_g03_c01: 0.5194796508423423
v_FloorGymnastics_g03_c02: 0.33167185245672215
v_FloorGymnastics_g03_c03: 0.48432476080613185
v_FloorGymnastics_g03_c04: 0.3350138266816174
v_FloorGymnastics_g04_c01: 0.6939845265134608
v_FloorGymnastics_g04_c02: 0.6538726271375452
v_FloorGymnastics_g04_c03: 0.539765077947024
v_FloorGymnastics_g04_c04: 0.7338500202878748
v_FloorGymnastics_g04_c05: 0.6597501815542017
v_FloorGymnastics_g05_c01: 0.5143226569763755
v_FloorGymnastics_g05_c02: 0.6840907515271937
v_FloorGymnastics_g05_c03: 0.41959887587124456
v_FloorGymnastics_g05_c04: 0.6324450553640162
v_FloorGymnastics_g06_c01: 0.5783958615049158
v_FloorGymnastics_g06_c02: 0.5640879453405176
v_FloorGymnastics_g06_c03: 0.6963980377897059
v_FloorGymnastics_g06_c04: 0.557269844996128
v_FloorGymnastics_g06_c05: 0.624270099519137
v_FloorGymnastics_g06_c06: 0.2534567032254671
v_FloorGymnastics_g06_c07: 0.4999159083946978
v_FloorGymnastics_g07_c01: 0.22855500674465645
v_FloorGymnastics_g07_c02: 0.3583082853130435
v_FloorGymnastics_g07_c03: 0.5102241219266688
v_FloorGymnastics_g07_c04: 0.30101211771959413
v_FloorGymnastics_g07_c05: 0.18835955865340281
v_FloorGymnastics_g07_c06: 0.2122662824823891
v_FloorGymnastics_g07_c07: 0.3924281218334471
v_GolfSwing_g01_c01: 0.6719582076838009
v_GolfSwing_g01_c02: 0.6238883133699886
v_GolfSwing_g01_c03: 0.699528276520013
v_GolfSwing_g01_c04: 0.6619590516855709
v_GolfSwing_g01_c05: 0.6262461539080135
v_GolfSwing_g01_c06: 0.6542139049341671
v_GolfSwing_g02_c01: 0.11802913278357607
v_GolfSwing_g02_c02: 0.005711934287873532
v_GolfSwing_g02_c03: 0.017286719849252563
v_GolfSwing_g02_c04: 0.055180535798953656
v_GolfSwing_g03_c01: 0.24400016625428123
v_GolfSwing_g03_c02: 0.2322169258912794
v_GolfSwing_g03_c03: 0.34151887341418785
v_GolfSwing_g03_c04: 0.34444079461523813
v_GolfSwing_g03_c05: 0.27620119608023685
v_GolfSwing_g03_c06: 0.34584657947549147
v_GolfSwing_g03_c07: 0.294074435318052
v_GolfSwing_g04_c01: 0.33062621603663445
v_GolfSwing_g04_c02: 0.5619575330709807
v_GolfSwing_g04_c03: 0.5917680292112522
v_GolfSwing_g04_c04: 0.5995236156230561
v_GolfSwing_g04_c05: 0.5520412321856014
v_GolfSwing_g04_c06: 0.5853281054368011
v_GolfSwing_g05_c01: 0.14838332898931128
v_GolfSwing_g05_c02: 0.4250686935337029
v_GolfSwing_g05_c03: 0.3843578100858025
v_GolfSwing_g05_c04: 0.5467900052388899
v_GolfSwing_g05_c05: 0.2516217719020091
v_GolfSwing_g05_c06: 0.27960064602653745
v_GolfSwing_g05_c07: 0.4904057491292946
v_GolfSwing_g06_c01: 0.017675139540969553
v_GolfSwing_g06_c02: 0.0007774329722991524
v_GolfSwing_g06_c03: 0.5825924273302547
v_GolfSwing_g06_c04: 0.3177220724245302
v_GolfSwing_g07_c01: 0.36567585150611137
v_GolfSwing_g07_c02: 0.3789459935577355
v_GolfSwing_g07_c03: 0.6996695055348567
v_GolfSwing_g07_c04: 0.49287325918690783
v_GolfSwing_g07_c05: 0.1924498051592849
v_HorseRiding_g01_c01: 0.6343508359395855
v_HorseRiding_g01_c02: 0.13984521188558574
v_HorseRiding_g01_c03: 0.8616104578950399
