Loaded /home/lzq/ExpEval/exe_res/ucf101_r50l_la_full.pt
v_HorseRiding_g06_c04: 0.6735229944697494
v_HorseRiding_g06_c05: 0.7218580102435226
v_HorseRiding_g06_c06: 0.7283956861010665
v_HorseRiding_g06_c07: 0.6024060701838607
v_HorseRiding_g07_c01: 0.37986968512450403
v_HorseRiding_g07_c02: 0.6135371779910201
v_HorseRiding_g07_c03: 0.6809700583926315
v_HorseRiding_g07_c04: 0.6822181200495834
v_HorseRiding_g07_c05: 0.5612560367098922
v_HorseRiding_g07_c06: 0.6499422049037094
v_HorseRiding_g07_c07: 0.7809968447199935
v_IceDancing_g01_c01: 0.26672876595860373
v_IceDancing_g01_c02: 0.0943057236016358
v_IceDancing_g01_c03: 0.3377401304185952
v_IceDancing_g01_c04: 0.34868321537381064
v_IceDancing_g01_c05: 0.32650882720356833
v_IceDancing_g01_c06: 0.3251513910234536
v_IceDancing_g01_c07: 0.22768294035797965
v_IceDancing_g02_c01: 0.1521353346050347
v_IceDancing_g02_c02: 0.12907072126274954
v_IceDancing_g02_c03: 0.15007656037217032
v_IceDancing_g02_c04: 0.08668097078209769
v_IceDancing_g02_c05: 0.021643845526185146
v_IceDancing_g02_c06: 0.11553198813801657
v_IceDancing_g02_c07: 0.055731773072537294
v_IceDancing_g03_c01: 0.09918086945420157
v_IceDancing_g03_c02: 0.2520372343004311
v_IceDancing_g03_c03: 0.2877969217241372
v_IceDancing_g03_c04: 0.08438645272856604
v_IceDancing_g03_c05: 0.29700753807431113
v_IceDancing_g03_c06: 0.33725214719181906
v_IceDancing_g04_c01: 0.35630432485943686
v_IceDancing_g04_c02: 0.3370093774736489
v_IceDancing_g04_c03: 0.30438742756253134
v_IceDancing_g04_c04: 0.32798112153416525
v_IceDancing_g04_c05: 5.4834050650266666e-05
v_IceDancing_g04_c06: 0.3899904859006966
v_IceDancing_g04_c07: 0.28113130449658286
v_IceDancing_g05_c01: 0.39077279686337363
v_IceDancing_g05_c02: 0.14964389025574576
v_IceDancing_g05_c03: 0.3582835268915261
v_IceDancing_g05_c04: 0.4103324186742867
v_IceDancing_g05_c05: 0.33819172500973593
v_IceDancing_g05_c06: 0.3644574654043282
v_IceDancing_g06_c01: 0.41357967972165
v_IceDancing_g06_c02: 0.36991233348256003
v_IceDancing_g06_c03: 0.46268186687832724
v_IceDancing_g06_c04: 0.473654724353608
v_IceDancing_g06_c05: 0.29714945673352133
v_IceDancing_g06_c06: 0.12517844855194937
v_IceDancing_g07_c01: 0.21141047000294577
v_IceDancing_g07_c02: 0.2308534753263558
v_IceDancing_g07_c03: 0.2574277293623055
v_IceDancing_g07_c04: 0.2647878599107827
v_IceDancing_g07_c05: 0.36668053984051596
v_IceDancing_g07_c06: 0.2665754926145638
v_IceDancing_g07_c07: 0.23972723602658164
v_LongJump_g01_c01: 0.2519699144588685
v_LongJump_g01_c02: 0.2850480485187745
v_LongJump_g01_c03: 0.33384336116182567
v_LongJump_g01_c04: 0.3020071792827821
v_LongJump_g01_c05: 0.30744494082796336
v_LongJump_g01_c06: 0.21797640206682445
v_LongJump_g01_c07: 0.3246381688343263
v_LongJump_g02_c01: 0.43121053142863275
v_LongJump_g02_c02: 0.13524906737188758
v_LongJump_g02_c03: 0.058939289575619114
v_LongJump_g02_c04: 0.13020915658603371
v_LongJump_g02_c05: 0.19627707269432904
v_LongJump_g03_c01: 0.06611850116792084
v_LongJump_g03_c02: 0.19168203374761106
v_LongJump_g03_c03: 0.18714227857458354
v_LongJump_g03_c04: 0.11724188881385089
v_LongJump_g03_c05: 0.07378065916168453
v_LongJump_g03_c06: 0.10205719344708086
v_LongJump_g04_c01: 0.09567950949463011
v_LongJump_g04_c02: 0.050213001942438495
v_LongJump_g04_c03: 0.08353573250974478
v_LongJump_g04_c04: 0.0927667506450689
v_LongJump_g04_c05: 0.06130575951578976
v_LongJump_g04_c06: 0.07961657763848962
v_LongJump_g04_c07: 0.08542468868586184
v_LongJump_g05_c01: 0.0034558044001187227
v_LongJump_g05_c02: 0.0025405039548331843
v_LongJump_g05_c03: 0.007959618274298919
v_LongJump_g05_c04: 0.008429725695577872
v_LongJump_g05_c05: 0.018870900426236403
v_LongJump_g06_c01: 0.0017913281037635898
v_LongJump_g06_c02: 0.002926529993828808
v_LongJump_g06_c03: 0.003064114670678464
v_LongJump_g06_c04: 0.00253566041033082
v_LongJump_g07_c01: 0.11770139545592428
v_LongJump_g07_c02: 0.13882575514185191
v_LongJump_g07_c03: 0.026659717824486506
v_LongJump_g07_c05: 0.04506733458879353
v_PoleVault_g01_c01: 0.011701506359713676
v_PoleVault_g01_c02: 0.10453453791069478
v_PoleVault_g01_c03: 0.025710781251291337
v_PoleVault_g01_c04: 0.01952502798030764
v_PoleVault_g01_c05: 0.01802663147191197
v_PoleVault_g02_c01: 0.06359575517217309
v_PoleVault_g02_c02: 0.10658587017769605
v_PoleVault_g02_c03: 0.11904288656751305
v_PoleVault_g02_c04: 0.1453140360836187
v_PoleVault_g02_c05: 0.13537020809690148
v_PoleVault_g02_c06: 0.06570204920808465
v_PoleVault_g02_c07: 0.08707322008649498
v_PoleVault_g03_c01: 0.19549612529317528
v_PoleVault_g03_c02: 0.14000786715860158
v_PoleVault_g03_c03: 0.0759378952507177
v_PoleVault_g03_c04: 0.12386307041833788
v_PoleVault_g03_c05: 0.06787650907153875
v_PoleVault_g03_c06: 0.11322429604570061
v_PoleVault_g03_c07: 0.078441051912705
v_PoleVault_g04_c01: 0.14519126355389744
v_PoleVault_g04_c02: 0.18861629083494336
v_PoleVault_g04_c03: 0.045114490349988046
v_PoleVault_g04_c04: 0.06525483835230261
v_PoleVault_g04_c05: 0.1566688152097413
v_PoleVault_g04_c06: 0.22550967303777725
v_PoleVault_g04_c07: 0.4172145558122793
v_PoleVault_g05_c01: 0.44151823051015526
v_PoleVault_g05_c02: 0.4742748571161428
v_PoleVault_g05_c03: 0.30108482964078576
v_PoleVault_g05_c04: 0.22441421277562768
v_PoleVault_g05_c05: 0.2381715459350744
v_PoleVault_g06_c01: 0.2656150592092672
v_PoleVault_g06_c02: 0.17218397386113793
v_PoleVault_g06_c03: 0.1564897728685537
v_PoleVault_g06_c04: 0.26213107831517846
v_PoleVault_g06_c05: 0.3193965388063589
v_PoleVault_g07_c01: 0.07314897203559667
v_PoleVault_g07_c02: 0.284963263345162
v_PoleVault_g07_c03: 0.06675281925799936
v_PoleVault_g07_c04: 0.048416458915198746
v_RopeClimbing_g01_c01: 0.2233381552378521
v_RopeClimbing_g01_c02: 0.6806924179222733
v_RopeClimbing_g01_c03: 0.6765827372696549
v_RopeClimbing_g01_c04: 0.2953539922859818
v_RopeClimbing_g02_c01: 0.687579376998201
v_RopeClimbing_g02_c02: 0.6101999714996964
v_RopeClimbing_g02_c03: 0.6252655819084794
v_RopeClimbing_g02_c04: 0.6878419354584366
v_RopeClimbing_g02_c05: 0.694797201457277
v_RopeClimbing_g02_c06: 0.6785173848297745
v_RopeClimbing_g03_c01: 0.5410963112049103
v_RopeClimbing_g03_c02: 0.6812600925591141
v_RopeClimbing_g03_c03: 0.5146166518356949
v_RopeClimbing_g03_c04: 0.4693529441979081
v_RopeClimbing_g04_c01: 0.5169114495188296
v_RopeClimbing_g04_c02: 0.5515762999680192
v_RopeClimbing_g04_c03: 0.6849109366562516
v_RopeClimbing_g04_c04: 0.5892610982086808
v_RopeClimbing_g05_c01: 0.4616961943943352
v_RopeClimbing_g05_c02: 0.4413943103540987
v_RopeClimbing_g05_c03: 0.03847746949440989
v_RopeClimbing_g05_c04: 0.23051722594800594
v_RopeClimbing_g05_c05: 0.361294547703892
v_RopeClimbing_g05_c06: 0.2793557384543419
v_RopeClimbing_g05_c07: 0.15348183959986272
v_RopeClimbing_g06_c01: 0.42164702564741674
v_RopeClimbing_g06_c02: 0.3738231495049149
v_RopeClimbing_g06_c03: 0.4476229384567887
v_RopeClimbing_g06_c04: 0.5632158949997574
v_RopeClimbing_g07_c01: 0.13627886483709517
v_RopeClimbing_g07_c02: 0.0439090917611793
v_RopeClimbing_g07_c03: 0.02721744987911734
v_RopeClimbing_g07_c04: 0.03280877747465638
v_RopeClimbing_g07_c05: 0.5585905210141391
v_SalsaSpin_g01_c01: 0.30481045101919335
v_SalsaSpin_g01_c02: 0.1845572648119287
v_SalsaSpin_g01_c03: 0.21730726412647527
v_SalsaSpin_g01_c04: 0.2055636534016685
v_SalsaSpin_g01_c05: 0.23597976765745443
v_SalsaSpin_g01_c06: 0.27634311830775005
v_SalsaSpin_g01_c07: 0.2943837364684896
v_SalsaSpin_g02_c01: 0.038891799190651
v_SalsaSpin_g02_c02: 0.06466431174995835
v_SalsaSpin_g02_c03: 0.027420467368820024
v_SalsaSpin_g02_c04: 0.018711687202861427
v_SalsaSpin_g02_c05: 0.03198283828167536
v_SalsaSpin_g02_c06: 0.012579169710048625
v_SalsaSpin_g02_c07: 0.1922655453280786
v_SalsaSpin_g03_c01: 0.5050717020887987
v_SalsaSpin_g03_c02: 0.462323668088402
v_SalsaSpin_g03_c03: 0.6008617306608812
v_SalsaSpin_g03_c04: 0.5748498464483873
v_SalsaSpin_g03_c05: 0.5142846728224413
v_SalsaSpin_g03_c06: 0.6342362190146105
v_SalsaSpin_g04_c01: 0.1465547488435277
v_SalsaSpin_g04_c02: 0.11528383484551341
v_SalsaSpin_g04_c03: 0.21627798387930852
