The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_grad_cam_full_layer3_test.pt
v_FloorGymnastics_g04_c02: 0.7942260860374161
v_FloorGymnastics_g04_c03: 0.8138182295741988
v_FloorGymnastics_g04_c04: 0.406883185305724
v_FloorGymnastics_g04_c05: 0.6722141387123688
v_FloorGymnastics_g05_c01: 0.33961664911213457
v_FloorGymnastics_g05_c02: 0.6204227629026362
v_FloorGymnastics_g05_c03: 0.5429720845475209
v_FloorGymnastics_g05_c04: 0.5968575294841738
v_FloorGymnastics_g06_c01: 0.4006622468431791
v_FloorGymnastics_g06_c02: 0.3871421269415056
v_FloorGymnastics_g06_c03: 0.6999058826077803
v_FloorGymnastics_g06_c04: 0.36113907360270914
v_FloorGymnastics_g06_c05: 0.23904069164658295
v_FloorGymnastics_g06_c06: 0.32631360502804024
v_FloorGymnastics_g06_c07: 0.24134917872976147
v_FloorGymnastics_g07_c01: 0.3944467450802525
v_FloorGymnastics_g07_c02: 0.3409807296871555
v_FloorGymnastics_g07_c03: 0.6842805823128597
v_FloorGymnastics_g07_c04: 0.26778465519275735
v_FloorGymnastics_g07_c05: 0.35043971327078693
v_FloorGymnastics_g07_c06: 0.39071619687784537
v_FloorGymnastics_g07_c07: 0.33953009883270546
v_GolfSwing_g01_c01: 0.8156628781820044
v_GolfSwing_g01_c02: 0.6913718534889175
v_GolfSwing_g01_c03: 0.8163536506102366
v_GolfSwing_g01_c04: 0.8049558059988069
v_GolfSwing_g01_c05: 0.8532593610386053
v_GolfSwing_g01_c06: 0.7620920502379829
v_GolfSwing_g02_c01: 0.5295962236967742
v_GolfSwing_g02_c02: 0.3172931533379882
v_GolfSwing_g02_c03: 0.3265898338866
v_GolfSwing_g02_c04: 0.392361244201368
v_GolfSwing_g03_c01: 0.3249545584706699
v_GolfSwing_g03_c02: 0.41530842469895585
v_GolfSwing_g03_c03: 0.6163198512120575
v_GolfSwing_g03_c04: 0.5315476627691703
v_GolfSwing_g03_c05: 0.47249642841371836
v_GolfSwing_g03_c06: 0.47952664970767267
v_GolfSwing_g03_c07: 0.5177058983375045
v_GolfSwing_g04_c01: 0.5823917043559691
v_GolfSwing_g04_c02: 0.364547054016707
v_GolfSwing_g04_c03: 0.8263919934776484
v_GolfSwing_g04_c04: 0.55198857256887
v_GolfSwing_g04_c05: 0.6644788415773827
v_GolfSwing_g04_c06: 0.7459160769321754
v_GolfSwing_g05_c01: 0.2769021347019018
v_GolfSwing_g05_c02: 0.451735609901302
v_GolfSwing_g05_c03: 0.426053249865186
v_GolfSwing_g05_c04: 0.4322723413214964
v_GolfSwing_g05_c05: 0.46166533015522304
v_GolfSwing_g05_c06: 0.6149817258484808
v_GolfSwing_g05_c07: 0.284908256168459
v_GolfSwing_g06_c01: 0.018561018554165084
v_GolfSwing_g06_c02: 0.23612698626284506
v_GolfSwing_g06_c03: 0.3345055008343622
v_GolfSwing_g06_c04: 0.20860671916720913
v_GolfSwing_g07_c01: 0.3392990939026954
v_GolfSwing_g07_c02: 0.17326984385065003
v_GolfSwing_g07_c03: 0.5848529702162042
v_GolfSwing_g07_c04: 0.2868343821343254
v_GolfSwing_g07_c05: 0.4234572698088253
v_HorseRiding_g01_c01: 0.270783099258209
v_HorseRiding_g01_c02: 0.13540389227005198
v_HorseRiding_g01_c03: 0.4573004691879831
v_HorseRiding_g01_c04: 0.28978399009096856
v_HorseRiding_g01_c05: 0.46302580935332704
v_HorseRiding_g01_c06: 0.19259113086497082
v_HorseRiding_g01_c07: 0.3377390947959879
v_HorseRiding_g02_c01: 0.2635768251237916
v_HorseRiding_g02_c02: 0.5578950272288685
v_HorseRiding_g02_c03: 0.6196384932663218
v_HorseRiding_g02_c04: 0.1873746996088063
v_HorseRiding_g02_c05: 0.30387403621320047
v_HorseRiding_g02_c06: 0.2834205202100908
v_HorseRiding_g02_c07: 0.2531548352546844
v_HorseRiding_g03_c01: 0.3482804270242067
v_HorseRiding_g03_c02: 0.2564876312170835
v_HorseRiding_g03_c03: 0.28243011578771415
v_HorseRiding_g03_c04: 0.41979647707559314
v_HorseRiding_g03_c05: 0.4680242992134071
v_HorseRiding_g03_c06: 0.4330336604048224
v_HorseRiding_g03_c07: 0.3071510872602755
v_HorseRiding_g04_c01: 0.3641921718623124
v_HorseRiding_g04_c02: 0.33343875557549446
v_HorseRiding_g04_c03: 0.1587105921086143
v_HorseRiding_g04_c04: 0.3002552628517151
v_HorseRiding_g04_c05: 0.21138141084389359
v_HorseRiding_g04_c06: 0.3950011798308468
v_HorseRiding_g04_c07: 0.5282189175322214
v_HorseRiding_g05_c01: 0.7625995287817775
v_HorseRiding_g05_c02: 0.7481316349724783
v_HorseRiding_g05_c03: 0.7079001782790703
v_HorseRiding_g05_c04: 0.7585125475866246
v_HorseRiding_g05_c05: 0.7628792305896972
v_HorseRiding_g05_c06: 0.26588230215597386
v_HorseRiding_g05_c07: 0.2777826236971818
v_HorseRiding_g06_c01: 0.360945107616192
v_HorseRiding_g06_c02: 0.3126566274639438
v_HorseRiding_g06_c03: 0.7296568756302197
v_HorseRiding_g06_c04: 0.6078544113346759
v_HorseRiding_g06_c05: 0.7369084541868491
v_HorseRiding_g06_c06: 0.6419696683867597
v_HorseRiding_g06_c07: 0.5984292314406119
v_HorseRiding_g07_c01: 0.2805598777773626
v_HorseRiding_g07_c02: 0.34116162087439617
v_HorseRiding_g07_c03: 0.24410731334093155
v_HorseRiding_g07_c04: 0.28129098180170153
v_HorseRiding_g07_c05: 0.4131927527633368
v_HorseRiding_g07_c06: 0.3875795277237308
v_HorseRiding_g07_c07: 0.558841818918054
v_IceDancing_g01_c01: 0.4061924929949729
v_IceDancing_g01_c02: 0.45991927110681347
v_IceDancing_g01_c03: 0.47814152420443645
v_IceDancing_g01_c04: 0.5605997897903708
v_IceDancing_g01_c05: 0.4220578459803672
v_IceDancing_g01_c06: 0.5311202245527038
v_IceDancing_g01_c07: 0.3883412336930633
v_IceDancing_g02_c01: 0.4340254409877839
v_IceDancing_g02_c02: 0.5156412995456919
v_IceDancing_g02_c03: 0.42589454629695883
v_IceDancing_g02_c04: 0.6037948328015559
v_IceDancing_g02_c05: 0.4743258773951846
v_IceDancing_g02_c06: 0.47241322029308946
v_IceDancing_g02_c07: 0.5761821974799329
v_IceDancing_g03_c01: 0.37932233805676885
v_IceDancing_g03_c02: 0.3721408312665481
v_IceDancing_g03_c03: 0.44413469887393364
v_IceDancing_g03_c04: 0.3235933085392211
v_IceDancing_g03_c05: 0.47046361801524955
v_IceDancing_g03_c06: 0.4140849315616138
v_IceDancing_g04_c01: 0.45557242060701053
v_IceDancing_g04_c02: 0.3400495749806949
v_IceDancing_g04_c03: 0.5060560815985881
v_IceDancing_g04_c04: 0.3673482859397636
v_IceDancing_g04_c05: 0.026356916303070736
v_IceDancing_g04_c06: 0.3957231325846092
v_IceDancing_g04_c07: 0.5146264326046495
v_IceDancing_g05_c01: 0.3137770018229882
v_IceDancing_g05_c02: 0.48629673938906076
v_IceDancing_g05_c03: 0.48447050532946984
v_IceDancing_g05_c04: 0.2200257138988259
v_IceDancing_g05_c05: 0.41363294936497425
v_IceDancing_g05_c06: 0.28383522851794374
v_IceDancing_g06_c01: 0.3570453345081678
v_IceDancing_g06_c02: 0.2816726496023144
v_IceDancing_g06_c03: 0.37706764835097334
v_IceDancing_g06_c04: 0.31724984463961686
v_IceDancing_g06_c05: 0.24877296417367226
v_IceDancing_g06_c06: 0.32681349036375096
v_IceDancing_g07_c01: 0.5081770021340573
v_IceDancing_g07_c02: 0.3766971390950037
v_IceDancing_g07_c03: 0.4555094709857276
v_IceDancing_g07_c04: 0.37069770679535236
v_IceDancing_g07_c05: 0.3843073682622144
v_IceDancing_g07_c06: 0.3372114924312222
v_IceDancing_g07_c07: 0.49235940093138053
v_LongJump_g01_c01: 0.6231858587120751
v_LongJump_g01_c02: 0.6682565825206099
v_LongJump_g01_c03: 0.7401431442895795
v_LongJump_g01_c04: 0.7497847742903248
v_LongJump_g01_c05: 0.7761164442188673
v_LongJump_g01_c06: 0.5578844259867408
v_LongJump_g01_c07: 0.7214929282446118
v_LongJump_g02_c01: 0.6568744479623787
v_LongJump_g02_c02: 0.6865468251331728
v_LongJump_g02_c03: 0.7148193167668639
v_LongJump_g02_c04: 0.7407793903504224
v_LongJump_g02_c05: 0.703289581695115
v_LongJump_g03_c01: 0.5324150056925182
v_LongJump_g03_c02: 0.5219563041959762
v_LongJump_g03_c03: 0.30679052828756326
v_LongJump_g03_c04: 0.4087806212076662
v_LongJump_g03_c05: 0.4552086045089013
v_LongJump_g03_c06: 0.5092819754810383
v_LongJump_g04_c01: 0.5456228856435593
v_LongJump_g04_c02: 0.6086016411865678
v_LongJump_g04_c03: 0.5575620805890318
v_LongJump_g04_c04: 0.5665074938168639
v_LongJump_g04_c05: 0.5468938196534473
v_LongJump_g04_c06: 0.6366435364491361
v_LongJump_g04_c07: 0.6352686508038246
v_LongJump_g05_c01: 0.20543855045209913
v_LongJump_g05_c02: 0.6162331359543125
v_LongJump_g05_c03: 0.3858945499685611
v_LongJump_g05_c04: 0.5808024629977915
v_LongJump_g05_c05: 0.46681619080185305
v_LongJump_g06_c01: 0.29214247924129605
v_LongJump_g06_c02: 0.5505194695858175
v_LongJump_g06_c03: 0.3067134051291528
v_LongJump_g06_c04: 0.34549478157879965
v_LongJump_g07_c01: 0.5389738725032658
v_LongJump_g07_c02: 0.5597813373787657
v_LongJump_g07_c03: 0.2984976066157733
v_LongJump_g07_c05: 0.38111805600552434
v_PoleVault_g01_c01: 0.3498175281702596
v_PoleVault_g01_c02: 0.5171141821361493
v_PoleVault_g01_c03: 0.47227511998156413
v_PoleVault_g01_c04: 0.4093601121731541
v_PoleVault_g01_c05: 0.36902179074583247
v_PoleVault_g02_c01: 0.5744906862175055
v_PoleVault_g02_c02: 0.4250768008167107
v_PoleVault_g02_c03: 0.4046727021644805
v_PoleVault_g02_c04: 0.46118871663861416
v_PoleVault_g02_c05: 0.4167972845564067
v_PoleVault_g02_c06: 0.541653143977929
v_PoleVault_g02_c07: 0.48780474956147374
v_PoleVault_g03_c01: 0.4418906774664042
v_PoleVault_g03_c02: 0.4087424444966018
v_PoleVault_g03_c03: 0.4060778081837092
v_PoleVault_g03_c04: 0.40210694823706267
v_PoleVault_g03_c05: 0.39113765735106143
v_PoleVault_g03_c06: 0.32614268889541137
v_PoleVault_g03_c07: 0.4144465358453054
v_PoleVault_g04_c01: 0.40380272457522215
v_PoleVault_g04_c02: 0.38590782819242747
v_PoleVault_g04_c03: 0.4510127698436526
v_PoleVault_g04_c04: 0.49805562466602116
v_PoleVault_g04_c05: 0.5024188264200062
v_PoleVault_g04_c06: 0.46190845545235215
v_PoleVault_g04_c07: 0.62084244906391
v_PoleVault_g05_c01: 0.45016550600492194
v_PoleVault_g05_c02: 0.392550747297412
v_PoleVault_g05_c03: 0.6141948142435913
v_PoleVault_g05_c04: 0.5018647076187692
v_PoleVault_g05_c05: 0.558500776808782
v_PoleVault_g06_c01: 0.44604709144572124
v_PoleVault_g06_c02: 0.4594206785746649
v_PoleVault_g06_c03: 0.30757003293610086
v_PoleVault_g06_c04: 0.3052320501967972
v_PoleVault_g06_c05: 0.26693114483016817
v_PoleVault_g07_c01: 0.4384361798181107
v_PoleVault_g07_c02: 0.5630604066593828
v_PoleVault_g07_c03: 0.33156220289495064
v_PoleVault_g07_c04: 0.40324769260946147
v_RopeClimbing_g01_c01: 0.7530229214651912
v_RopeClimbing_g01_c02: 0.5242610185754065
v_RopeClimbing_g01_c03: 0.4239075144570248
v_RopeClimbing_g01_c04: 0.5940922161381619
v_RopeClimbing_g02_c01: 0.7048506454217668
v_RopeClimbing_g02_c02: 0.8419418275356293
v_RopeClimbing_g02_c03: 0.5076568000018596
v_RopeClimbing_g02_c04: 0.42426554242185516
v_RopeClimbing_g02_c05: 0.7668802682383388
v_RopeClimbing_g02_c06: 0.5419225082970133
v_RopeClimbing_g03_c01: 0.44061340441306435
v_RopeClimbing_g03_c02: 0.5873560882082173
v_RopeClimbing_g03_c03: 0.794064281559458
v_RopeClimbing_g03_c04: 0.7495240615279066
v_RopeClimbing_g04_c01: 0.5607186662800172
v_RopeClimbing_g04_c02: 0.49780229613477106
v_RopeClimbing_g04_c03: 0.7770751257153118
v_RopeClimbing_g04_c04: 0.7633230303140247
v_RopeClimbing_g05_c01: 0.6968865623953295
v_RopeClimbing_g05_c02: 0.6399002360508722
v_RopeClimbing_g05_c03: 0.5653688717706531
v_RopeClimbing_g05_c04: 0.46353097994830095
v_RopeClimbing_g05_c05: 0.6075454438141749
v_RopeClimbing_g05_c06: 0.43538575046787076
v_RopeClimbing_g05_c07: 0.6278516772330976
v_RopeClimbing_g06_c01: 0.49985410153281457
v_RopeClimbing_g06_c02: 0.71883417040694
v_RopeClimbing_g06_c03: 0.691903604479397
v_RopeClimbing_g06_c04: 0.6819473714805117
v_RopeClimbing_g07_c01: 0.6349187454318299
v_RopeClimbing_g07_c02: 0.7698712598021124
v_RopeClimbing_g07_c03: 0.6291055265887111
v_RopeClimbing_g07_c04: 0.5638809176928857
v_RopeClimbing_g07_c05: 0.5655553935059145
v_SalsaSpin_g01_c01: 0.48204267507090287
v_SalsaSpin_g01_c02: 0.5267168514576612
v_SalsaSpin_g01_c03: 0.6676235124468803
