Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_summed.pt
P22_10_26318-pick-up-spoon: 0.03242138110316339
P22_10_26319-lather-spoon: 0.16182452785869827
P22_10_26340-pick-up-bowl: 0.7619332188860426
P22_10_26426-lather-glass: 0.41049570758264053
P22_10_26508-empty-bottle: 0.8363894905137386
P22_10_26511-empty-bottle: 0.7350196571728702
P22_11_26606-place-glass: 0.8142384307495831
P22_11_26644-put-down-bowl: 0.8504099815272639
P22_11_26763-rinse-glass: 0.007090931603462691
P22_12_26841-open-drawer: 0.959283301141113
P22_12_26959-put-plate: 0.5839054517755358
P22_13_27105-open-tap: 0.43957193724929766
P22_13_27110-rinse-sponge: 0.38484846709036447
P22_13_27135-rinse-sponge: 0.5431701000940166
P22_13_27154-rinse-knife: 0.6453417061247819
P22_13_27218-wash-cloth: 0.4769833888769881
P22_14_27373-open-drawer: 0.9139710157178342
P22_14_27404-open-tap: 0.6317882134404726
P22_14_27451-put-down-bowl: 0.09753886485646035
P22_14_27458-lather-knife: 0.4976673721221232
P22_14_27459-rinse-knife: 0.06985448643627024
P22_14_27462-put-down-spatula: 0.0023052983795396093
P22_15_27640-put-down-plate: 0.8105029543703495
P22_15_27737-close-tap: 0.03883603715223671
P22_16_27934-put-down-cloth: 0.20812917109492446
P22_16_28015-cut-onion: 0.6463414200034094
P22_16_28020-peel-onion: 0.6979631895583225
P22_16_28022-peel-onion: 0.6526859404903007
P22_16_28038-slice-onion: 0.7413896892603589
P22_16_28319-move-cloth: 0.592269803708632
P22_16_28320-pick-up-cloth: 0.48750870729259077
P22_16_28411-open-drawer: 0.9908192246221006
P22_17_28425-move-bowl: 0.834585663595135
P22_17_28449-lather-fork: 0.0051801581861070645
P22_17_28547-put-down-pan: 0.027868020715999364
P22_17_28573-open-tap: 0.0008047194738433905
P22_17_28584-lather-fork: 0.7859329546190565
P22_17_28642-fill-bottle: 0.30559730767845394
P22_17_28649-rinse-bottle: 0.6454321794385578
P22_17_28658-rinse-sponge: 0.03692413434180253
P22_17_28740-pick-up-plate: 0.9193534339619873
P22_17_28854-put-down-glass: 0.46659387140903164
P22_17_28855-put-down-glass: 0.18230322660315323
P22_17_28870-put-down-plate: 0.12635033282731456
P22_17_28903-dry-knife: 0.3661322241068774
P23_02_29082-wash-plate: 0.800894913340926
P23_02_29125-open-fridge: 0.7885749897814094
P23_02_29204-close-tap: 0.07979880955247154
P23_04_29364-clean-bowl: 0.5667958852955053
P24_01_29576-grab-cloth: 0.4666388389507574
P24_02_29640-open-fridge: 0.8780090696072875
P24_02_29661-close-fridge: 0.6394739643565117
P24_02_29710-turn-meat: 0.49078461653510885
P24_02_29718-cut-meat: 0.6458326888732131
P24_02_29727-take-meat: 0.0017613123892807891
P24_02_29739-flip-meat: 0.49000832564155417
P24_02_29747-check-meat: 0.5338514757804091
P24_02_29778-turn-meat: 0.7227649403266128
P24_02_29781-put-meat: 0.0018086795088834151
P24_02_29785-take-cloth: 0.060962328562027324
P24_03_29796-pick-up-plate: 0.7979221677715032
P24_03_29802-rinse-sponge: 0.6636997223992012
P24_03_29811-lather-fork: 0.4133620741631603
P24_03_29903-rinse-sponge: 0.7639974714417122
P24_03_29914-pick-up-cloth: 0.021433425097939107
P24_04_29996-lather-knife: 0.6675392409206324
P24_05_30046-pick-up-lid: 0.8065867095433532
P24_05_30062-put-down-plate: 0.97000099214074
P24_05_30105-move-pot: 0.014723861963432228
P24_05_30194-lift-lid: 0.0271114007050528
P24_05_30195-put-down-lid: 0.38774248326126326
P24_05_30226-rinse-knife: 0.018451555748584703
P24_05_30256-put-glass: 0.4868720795996069
P24_06_30353-grab-spoon: 0.9231660697914776
P24_06_30384-rinse-sponge: 0.09840244810417076
P24_06_30417-rinse-fork: 0.09288895098961802
P24_06_30419-rinse-fork: 0.46514995319012087
P24_07_30534-pick-up-cloth: 0.0005438142482034891
P24_07_30551-put-down-fork: 0.015575221211975077
P24_07_30569-turn-meat: 0.004971737949688304
P24_08_30653-pick-up-pot: 0.07236663103409131
P24_08_30656-put-pot: 0.7572860828645958
P24_08_30692-cut-onion: 0.34392806048617786
P24_08_30777-pick-up-lid: 0.4412837400745957
P24_08_30836-take-bottle: 0.00016232177714550614
P24_08_30897-pick-up-lid: 0.22504222576435495
P24_08_30965-open-tap: 0.8201864263334073
P25_02_31371-pick-up-pot: 0.03212221013797034
P25_02_31387-put-down-lid: 0.2969294662620996
P25_02_31397-turn-tap: 0.6212595614430256
P25_02_31398-turn-tap: 0.5047589300025948
P25_05_31483-put-down-pan: 0.7088219656271804
P25_05_31499-close-tap: 0.506258146773348
P25_05_31558-open-cupboard: 0.29190552806539927
P25_05_31564-put-down-fork: 0.012455288011551602
P25_05_31574-pick-up-spoon: 0.005844029929562566
P25_12_31949-open-drawer: 0.880877026822418
P26_02_32021-put-down-fork: 0.5253375244647032
P26_02_32022-open-fridge: 0.8774255748267024
P26_02_32061-put-down-fork: 0.5847806510137161
P26_03_32116-lather-pan: 0.3353633945936281
P26_03_32126-rinse-glass: 0.8271981550417422
P26_03_32127-soap-glass: 0.7474740760437726
P26_04_32152-put-lid: 0.7687409778304755
P26_06_32189-close-lid: 0.6009402244530975
P26_08_32201-put-down-spoon: 0.39340525761508616
P26_09_32220-pick-up-pot: 0.7296442518987192
P26_09_32221-put-down-pot: 0.2404788366098387
P26_09_32230-pick-up-pot: 0.2567479017002938
P26_10_32236-pick-up-pot: 0.2863051888112409
P26_10_32241-put-pot: 0.017122841278762735
