The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core11_test_summed.pt
P24_02_29661-close-fridge: 0.4392570461648717
P24_02_29710-turn-meat: 0.624657067604016
P24_02_29718-cut-meat: 0.668749925620653
P24_02_29727-take-meat: 0.003577283237652017
P24_02_29739-flip-meat: 0.4413802750092502
P24_02_29747-check-meat: 0.6085086112232495
P24_02_29778-turn-meat: 0.6919673717714271
P24_02_29781-put-meat: 0.008219153445051964
P24_02_29785-take-cloth: 0.03480657237495168
P24_03_29796-pick-up-plate: 0.9053491881509841
P24_03_29802-rinse-sponge: 0.676605707997595
P24_03_29811-lather-fork: 0.3659363376049727
P24_03_29903-rinse-sponge: 0.7776399033289636
P24_03_29914-pick-up-cloth: 0.15189266901023288
P24_04_29996-lather-knife: 0.5498794867561253
P24_05_30046-pick-up-lid: 0.8771806719724327
P24_05_30062-put-down-plate: 0.99419224456537
P24_05_30105-move-pot: 0.0067213460984502866
P24_05_30194-lift-lid: 0.058193232829445135
P24_05_30195-put-down-lid: 0.6057714020363146
P24_05_30226-rinse-knife: 0.08300543946183661
P24_05_30256-put-glass: 0.3968318110325045
P24_06_30353-grab-spoon: 0.8828508440441653
P24_06_30384-rinse-sponge: 0.07521011477477563
P24_06_30417-rinse-fork: 0.08835506578131268
P24_06_30419-rinse-fork: 0.3834332075371754
P24_07_30534-pick-up-cloth: 0.0009807646748502556
P24_07_30551-put-down-fork: 0.010459451931562986
P24_07_30569-turn-meat: 0.012998706423198147
P24_08_30653-pick-up-pot: 0.09077361421860299
P24_08_30656-put-pot: 0.4980605261747305
P24_08_30692-cut-onion: 0.26431265043679114
P24_08_30777-pick-up-lid: 0.18604738661658712
P24_08_30836-take-bottle: 0.0003225387632905039
P24_08_30897-pick-up-lid: 0.4030689544434769
P24_08_30965-open-tap: 0.8347344705353344
P25_02_31371-pick-up-pot: 0.035619971437628524
P25_02_31387-put-down-lid: 0.32884206582572967
P25_02_31397-turn-tap: 0.6020936833521666
P25_02_31398-turn-tap: 0.42180788601308095
P25_05_31483-put-down-pan: 0.34403842095144127
P25_05_31499-close-tap: 0.5583378051956043
P25_05_31558-open-cupboard: 0.10155879158307524
P25_05_31564-put-down-fork: 0.01758800236252593
P25_05_31574-pick-up-spoon: 0.004738011339384898
P25_12_31949-open-drawer: 0.682719206459382
P26_02_32021-put-down-fork: 0.5567618012300455
P26_02_32022-open-fridge: 0.44671438283871345
P26_02_32061-put-down-fork: 0.4057382066715874
P26_03_32116-lather-pan: 0.26618874241499796
P26_03_32126-rinse-glass: 0.8692209508685468
P26_03_32127-soap-glass: 0.8301419601483526
P26_04_32152-put-lid: 0.8826691438553527
P26_06_32189-close-lid: 0.6476336387492826
P26_08_32201-put-down-spoon: 0.27852617375844835
P26_09_32220-pick-up-pot: 0.6500884704958355
P26_09_32221-put-down-pot: 0.2707098190347417
P26_09_32230-pick-up-pot: 0.36238828100784515
P26_10_32236-pick-up-pot: 0.35248023717659616
P26_10_32241-put-pot: 0.10789309972822986
P26_10_32247-open-fridge: 0.4859436621145327
P26_12_32292-close-lid: 0.8236437927456756
P26_13_32297-open-lid: 0.9242009212614457
P26_13_32317-put-down-spoon: 0.6633190451993369
P26_13_32319-put-lid: 0.9423953931879107
P26_17_32347-take-spoon: 0.34606690344711144
P26_17_32353-put-down-plate: 0.8466886521860336
P26_18_32372-take-plate: 0.11938068901197803
P26_19_32404-pick-up-pot: 0.23252995056060244
P26_19_32434-put-down-glass: 0.1907867230073202
P26_19_32490-pick-up-pot: 0.15036457995661562
P26_19_32492-put-pot: 0.18282467422586884
P26_21_32505-close-cupboard: 0.40905608053446985
P26_28_32674-grab-fork: 0.0036469854508373945
P26_29_32690-put-lid: 0.02668035143172293
P27_01_32893-pick-up-fork: 0.03666977833673431
P27_04_33002-place-sponge: 0.25871352915567636
P27_06_33144-pick-up-spoon: 0.028944437411230275
P27_06_33145-pick-up-fork: 0.013036681406711246
P27_07_33177-take-cloth: 0.0014783246853267865
P27_07_33257-turn-on-tap: 0.21149747992757886
P28_01_33343-put-down-pan: 0.0981434817413859
P28_02_33398-put-down-spatula: 0.005737078085760077
P28_02_33400-wash-knife: 0.5161406999992608
P28_02_33474-turn-on-tap: 0.6976277479272468
P28_02_33479-turn-on-tap: 0.4108503718010159
P28_02_33489-turn-on-tap: 0.41820896040632055
P28_03_33614-peel-potato: 0.7409075773286282
P28_03_33621-turn-off-tap: 0.0034292774345707515
P28_04_33682-cut-potato: 0.6588657982391191
P28_05_33779-put-down-knife: 0.00795477558447815
P28_06_33862-take-knife: 0.4423894273674152
P28_06_33958-take-spoon: 0.18286836225101177
P28_08_34040-wash-knife: 0.017476128185462785
P28_09_34091-open-fridge: 0.710472414935665
P28_09_34141-turn-on-tap: 0.48035568148285773
P28_13_34301-put-pan: 0.4045852306390218
P28_14_34393-put-down-sponge: 0.07393070036902345
P28_14_34394-turn-on-tap: 0.809572521760956
P28_14_34396-turn-off-tap: 0.02140022226369192
P29_01_34867-chop-onion: 0.5249699342228911
P29_01_34868-chop-onion: 0.5988312492722316
P29_01_34877-chop-onion: 0.3170890000657927
P29_01_34902-chop-onion: 0.44694813296801467
P29_02_35181-move-fork: 0.027212856712696305
P29_02_35206-open-drawer: 0.6500383492778329
P29_03_35254-put-down-glass: 0.4308593256383057
P29_03_35265-close-cupboard: 0.43075275210773245
P29_03_35296-move-pan: 0.04666346704391032
P29_03_35335-pick-up-spatula: 0.13759579420564513
P29_03_35355-pick-up-fork: 0.5805654812841585
P29_03_35439-pick-up-bowl: 0.7393454280134071
P29_03_35461-rinse-bowl: 0.09918117398286568
P29_03_35497-scour-knife: 0.31732829117270955
P29_03_35528-pick-up-plate: 0.39967462975970086
P29_03_35562-scour-spatula: 0.38838025853311753
P29_03_35564-scour-spatula: 0.1878883031817774
P29_03_35632-pick-up-bowl: 0.016896425477941245
P29_04_35774-open-fridge: 0.03931414466762148
P30_03_36639-clean-knife: 0.28723712264846635
P30_04_36678-take-fork: 0.28492367822019493
P30_05_36874-put-onion: 0.07269343135526915
P30_05_36904-chop-onion: 0.4223111198304276
P30_05_36922-chop-onion: 0.5789853853086813
P30_05_37020-open-cupboard: 0.7838521149009466
P30_05_37240-open-cupboard: 0.8354411974111025
P30_05_37272-wash-spoon: 0.10104340738799496
P30_05_37511-take-plate: 0.9168114733768116
P30_05_37535-empty-bottle: 0.42593929309114886
P30_06_37605-dry-fork: 0.313829105497137
P30_06_37668-rinse-plate: 0.6568077539778588
P30_06_37674-rinse-bowl: 0.48751786351021303
P30_10_38341-take-spoon: 0.6548419412773322
P30_10_38504-rinse-fork: 0.005918024285796598
P30_10_38535-take-spoon: 0.9597506825538242
P30_10_38579-rinse-sponge: 0.21312595444472332
P30_11_38596-rinse-plate: 0.2882606834383207
P30_11_38661-wash-spoon: 0.6302025755538659
P30_11_38673-rise-sponge: 0.1871393579905499
P31_01_38722-take-glass: 0.0008846918115487628
P31_08_38926-open-fridge: 0.45753324186228506
P31_08_38943-open-fridge: 0.6881527908246818
Average: 0.0/0.4299267945566066
