The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r50l_perturb_full_test_summed.pt
P22_11_26763-rinse-glass: 0.03384678213876359
P22_12_26841-open-drawer: 0.8744842260491614
P22_12_26959-put-plate: 0.7818777792600861
P22_13_27105-open-tap: 0.2879552461433181
P22_13_27110-rinse-sponge: 0.6414340559099454
P22_13_27135-rinse-sponge: 0.709946969609472
P22_13_27154-rinse-knife: 0.6686189587876273
P22_13_27218-wash-cloth: 0.49625108827244463
P22_14_27373-open-drawer: 0.5113050464321586
P22_14_27404-open-tap: 0.596975756383001
P22_14_27451-put-down-bowl: 0.17967326110183243
P22_14_27458-lather-knife: 0.1975039697133516
P22_14_27459-rinse-knife: 0.12707090886337136
P22_14_27462-put-down-spatula: 0.004718560477005141
P22_15_27640-put-down-plate: 0.8860653651458229
P22_15_27737-close-tap: 0.02265508723375045
P22_16_27934-put-down-cloth: 0.5170045063488229
P22_16_28015-cut-onion: 0.3131522922438807
P22_16_28020-peel-onion: 0.42947287056138556
P22_16_28022-peel-onion: 0.3274384560433271
P22_16_28038-slice-onion: 0.6544065585693198
P22_16_28319-move-cloth: 0.4824007968462812
P22_16_28320-pick-up-cloth: 0.4433803276609123
P22_16_28411-open-drawer: 0.9747544324865528
P22_17_28425-move-bowl: 0.7961711102019192
P22_17_28449-lather-fork: 0.009419388119325352
P22_17_28547-put-down-pan: 0.01859048206846566
P22_17_28573-open-tap: 0.008482677095403133
P22_17_28584-lather-fork: 0.39537179452896704
P22_17_28642-fill-bottle: 0.14539823870507854
P22_17_28649-rinse-bottle: 0.4857551367028945
P22_17_28658-rinse-sponge: 0.03661875056124129
P22_17_28740-pick-up-plate: 0.9400841065718993
P22_17_28854-put-down-glass: 0.6410372950545257
P22_17_28855-put-down-glass: 0.4366991485188277
P22_17_28870-put-down-plate: 0.264974286216859
P22_17_28903-dry-knife: 0.28784025069326163
P23_02_29082-wash-plate: 0.8504872663165717
P23_02_29125-open-fridge: 0.5586924485702469
P23_02_29204-close-tap: 0.31605970871346023
P23_04_29364-clean-bowl: 0.17734299905269463
P24_01_29576-grab-cloth: 0.535519044927787
P24_02_29640-open-fridge: 0.4646863054082382
P24_02_29661-close-fridge: 0.3800659080720781
P24_02_29710-turn-meat: 0.5198806453426597
P24_02_29718-cut-meat: 0.6755984033473342
P24_02_29727-take-meat: 0.008671910426353272
P24_02_29739-flip-meat: 0.4103329572780971
P24_02_29747-check-meat: 0.4671366319650962
P24_02_29778-turn-meat: 0.7795549986475974
P24_02_29781-put-meat: 0.0031875822952761334
P24_02_29785-take-cloth: 0.0620311286825431
P24_03_29796-pick-up-plate: 0.8581478930242797
P24_03_29802-rinse-sponge: 0.5673619939720654
P24_03_29811-lather-fork: 0.6273314672796165
P24_03_29903-rinse-sponge: 0.8016816501409195
P24_03_29914-pick-up-cloth: 0.24667844409134476
P24_04_29996-lather-knife: 0.45099567641029314
P24_05_30046-pick-up-lid: 0.8954098701075304
P24_05_30062-put-down-plate: 0.9926015116260661
P24_05_30105-move-pot: 0.003855958070084407
P24_05_30194-lift-lid: 0.10145619142773178
P24_05_30195-put-down-lid: 0.5970540797981598
P24_05_30226-rinse-knife: 0.061060113012487094
P24_05_30256-put-glass: 0.48379545598861523
P24_06_30353-grab-spoon: 0.9179584568256841
P24_06_30384-rinse-sponge: 0.04305321489126108
P24_06_30417-rinse-fork: 0.17270661686483185
P24_06_30419-rinse-fork: 0.43463444963243664
P24_07_30534-pick-up-cloth: 0.001979571349026325
P24_07_30551-put-down-fork: 0.024111313970848536
P24_07_30569-turn-meat: 0.0199085111968338
P24_08_30653-pick-up-pot: 0.03309549333171428
P24_08_30656-put-pot: 0.6073399192279811
P24_08_30692-cut-onion: 0.22005685458083035
P24_08_30777-pick-up-lid: 0.2555155984367993
P24_08_30836-take-bottle: 0.0002890589021149721
P24_08_30897-pick-up-lid: 0.31721086404354804
P24_08_30965-open-tap: 0.6704413327688064
P25_02_31371-pick-up-pot: 0.27514792434730245
P25_02_31387-put-down-lid: 0.15197469196738858
P25_02_31397-turn-tap: 0.6118092317216317
P25_02_31398-turn-tap: 0.5171126824207878
P25_05_31483-put-down-pan: 0.6613121149147285
P25_05_31499-close-tap: 0.42628759801126426
P25_05_31558-open-cupboard: 0.08341420846169485
P25_05_31564-put-down-fork: 0.019734426229900005
P25_05_31574-pick-up-spoon: 0.007171248634033106
P25_12_31949-open-drawer: 0.6241157336562287
P26_02_32021-put-down-fork: 0.6074565501755798
P26_02_32022-open-fridge: 0.33509116351613594
P26_02_32061-put-down-fork: 0.43738361163904854
P26_03_32116-lather-pan: 0.6789532027628464
P26_03_32126-rinse-glass: 0.8772048769760694
P26_03_32127-soap-glass: 0.8613817975164719
P26_04_32152-put-lid: 0.9275242785101427
P26_06_32189-close-lid: 0.8412323966384957
P26_08_32201-put-down-spoon: 0.22716995308212207
P26_09_32220-pick-up-pot: 0.6337258031281332
