Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core5_cylinder_summed.pt
P26_02_32061-put-down-fork: 0.19434819932212122
P26_03_32116-lather-pan: 0.4510988812398864
P26_03_32126-rinse-glass: 0.6341392410395201
P26_03_32127-soap-glass: 0.8979532682278659
P26_04_32152-put-lid: 0.9483587604918284
P26_06_32189-close-lid: 0.8573039717011852
P26_08_32201-put-down-spoon: 0.73806137286374
P26_09_32220-pick-up-pot: 0.4612721881712787
P26_09_32221-put-down-pot: 0.2573323752149008
P26_09_32230-pick-up-pot: 0.3149385121068917
P26_10_32236-pick-up-pot: 0.022702098733134335
P26_10_32241-put-pot: 0.019795429075202264
P26_10_32247-open-fridge: 0.8118270612685592
P26_12_32292-close-lid: 0.7829262393497629
P26_13_32297-open-lid: 0.8575225940876408
P26_13_32317-put-down-spoon: 0.5719603129873576
P26_13_32319-put-lid: 0.8543216817051871
P26_17_32347-take-spoon: 0.5901942930977384
P26_17_32353-put-down-plate: 0.8190198785159737
P26_18_32372-take-plate: 0.07211348286364228
P26_19_32404-pick-up-pot: 0.00187306227951467
P26_19_32434-put-down-glass: 0.19705920325941406
P26_19_32490-pick-up-pot: 0.10415292804827914
P26_19_32492-put-pot: 0.22798297315603122
P26_21_32505-close-cupboard: 0.36341161440941505
P26_28_32674-grab-fork: 0.0005194894360442959
P26_29_32690-put-lid: 0.7109590317559196
P27_01_32893-pick-up-fork: 0.11392432637148886
P27_04_33002-place-sponge: 0.05609877837378008
P27_06_33144-pick-up-spoon: 0.8163308989933284
P27_06_33145-pick-up-fork: 0.034658233846130315
P27_07_33177-take-cloth: 0.0039003587197612433
P27_07_33257-turn-on-tap: 0.3027838048292324
P28_01_33343-put-down-pan: 0.6023297624633415
P28_02_33398-put-down-spatula: 0.08906717366153316
P28_02_33400-wash-knife: 0.6766639344787109
P28_02_33474-turn-on-tap: 0.43733355531003326
P28_02_33479-turn-on-tap: 0.5420547887915745
P28_02_33489-turn-on-tap: 0.023392623215841013
P28_03_33614-peel-potato: 0.8917088319140021
P28_03_33621-turn-off-tap: 0.02073686508811079
P28_04_33682-cut-potato: 0.38396679764264263
P28_05_33779-put-down-knife: 0.4385668865797925
P28_06_33862-take-knife: 0.5621871801486122
P28_06_33958-take-spoon: 0.14749657658467186
P28_08_34040-wash-knife: 0.4336574678236502
P28_09_34091-open-fridge: 0.9779570396422059
P28_09_34141-turn-on-tap: 0.6519622724736109
P28_13_34301-put-pan: 0.9668810251605464
P28_14_34393-put-down-sponge: 0.7924743527473765
