Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_fade_test_summed.pt
P22_08_25853-rinse-glass: 0.41709330752860296
P22_08_25857-rinse-cloth: 0.40400146514571134
P22_09_26001-put-down-plate: 0.47455651367363316
P22_09_26033-open-drawer: 0.8186183660291135
P22_09_26061-lather-bowl: 0.03520217559093908
P22_09_26136-rinse-cloth: 0.6722199393755091
P22_10_26287-rinse-bowl: 0.8183682530307124
P22_10_26318-pick-up-spoon: 0.019155445399051334
P22_10_26319-lather-spoon: 0.16602011370559921
P22_10_26340-pick-up-bowl: 0.7494261378542433
P22_10_26426-lather-glass: 0.49929941613595474
P22_10_26508-empty-bottle: 0.8605972017335262
P22_10_26511-empty-bottle: 0.6448226304432865
P22_11_26606-place-glass: 0.6894378678910016
P22_11_26644-put-down-bowl: 0.6601968377017329
P22_11_26763-rinse-glass: 0.006517827356011863
P22_12_26841-open-drawer: 0.9543693750165403
P22_12_26959-put-plate: 0.2276061110505907
P22_13_27105-open-tap: 0.5145215594035335
P22_13_27110-rinse-sponge: 0.399545452573534
P22_13_27135-rinse-sponge: 0.504137998462852
P22_13_27154-rinse-knife: 0.5407533763327592
P22_13_27218-wash-cloth: 0.44255270621783893
P22_14_27373-open-drawer: 0.9355434267781675
P22_14_27404-open-tap: 0.608256418892438
P22_14_27451-put-down-bowl: 0.15384896720001962
P22_14_27458-lather-knife: 0.5687537192252421
P22_14_27459-rinse-knife: 0.10909154608907556
P22_14_27462-put-down-spatula: 0.010075573843821049
P22_15_27640-put-down-plate: 0.7220332702463566
P22_15_27737-close-tap: 0.14698596053642632
P22_16_27934-put-down-cloth: 0.4152745788908305
P22_16_28015-cut-onion: 0.6112001903738928
P22_16_28020-peel-onion: 0.641104828790958
P22_16_28022-peel-onion: 0.5532889368396354
P22_16_28038-slice-onion: 0.7424093459185315
P22_16_28319-move-cloth: 0.42649679941519025
P22_16_28320-pick-up-cloth: 0.39511465335658613
P22_16_28411-open-drawer: 0.986901709344238
P22_17_28425-move-bowl: 0.6641015379809687
P22_17_28449-lather-fork: 0.004381345584391738
P22_17_28547-put-down-pan: 0.018863075780558347
P22_17_28573-open-tap: 0.001324989733428622
P22_17_28584-lather-fork: 0.6512994731165236
P22_17_28642-fill-bottle: 0.4689793014490533
P22_17_28649-rinse-bottle: 0.36970621870705145
P22_17_28658-rinse-sponge: 0.05315175220164292
P22_17_28740-pick-up-plate: 0.8276606286717652
P22_17_28854-put-down-glass: 0.38579253345164943
P22_17_28855-put-down-glass: 0.21197808445799637
P22_17_28870-put-down-plate: 0.04905172515009326
P22_17_28903-dry-knife: 0.24858921220311458
P23_02_29082-wash-plate: 0.7155169817460774
P23_02_29125-open-fridge: 0.7965382299280463
P23_02_29204-close-tap: 0.10747037764815559
P23_04_29364-clean-bowl: 0.6714583036609838
P24_01_29576-grab-cloth: 0.4578268286625189
P24_02_29640-open-fridge: 0.8834882265782653
P24_02_29661-close-fridge: 0.6226120487681328
P24_02_29710-turn-meat: 0.36896357065955954
P24_02_29718-cut-meat: 0.593378574912947
P24_02_29727-take-meat: 0.005824769407045238
P24_02_29739-flip-meat: 0.4768505705050643
P24_02_29747-check-meat: 0.3544093979052718
P24_02_29778-turn-meat: 0.4980042887381728
P24_02_29781-put-meat: 0.005823118691239415
P24_02_29785-take-cloth: 0.011061077812200892
P24_03_29796-pick-up-plate: 0.35457399844472093
P24_03_29802-rinse-sponge: 0.6017234684128425
P24_03_29811-lather-fork: 0.3613373818661785
P24_03_29903-rinse-sponge: 0.7017854214806221
P24_03_29914-pick-up-cloth: 0.019515224694487188
P24_04_29996-lather-knife: 0.6185583492160731
P24_05_30046-pick-up-lid: 0.7665586739026367
P24_05_30062-put-down-plate: 0.8957865336751638
P24_05_30105-move-pot: 0.04147691223857919
P24_05_30194-lift-lid: 0.006707193650527188
P24_05_30195-put-down-lid: 0.48869662845436324
