Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_summed.pt
P20_03_21981-put-fork: 0.0021945573647919256
P20_04_22059-pick-up-meat: 0.16823448361537885
P20_04_22090-rinse-meat: 0.5697316980658798
P20_04_22188-open-drawer: 0.09938008621975314
P20_04_22222-wash-knife: 0.011530538024089765
P20_04_22308-put-down-spatula: 0.8676221582263679
P20_04_22332-open-fridge: 0.5051811084049405
P21_01_22625-close-fridge: 0.00266029580598115
P22_05_24164-place-bottle: 0.9461561512143817
P22_06_24730-lather-glass: 0.45261950124404393
P22_06_24739-lather-fork: 0.28039614093722776
P22_07_24883-rinse-cloth: 0.23270550413872115
P22_07_24894-lather-glass: 0.8477412456122693
P22_07_24993-put-down-cloth: 0.9597405516251456
P22_07_25167-put-down-pot: 0.056106684890437464
P22_07_25302-rinse-spoon: 0.6551095980430546
P22_07_25325-pick-up-plate: 0.874596203211695
P22_07_25357-put-down-glass: 0.11550122052943834
P22_07_25363-remove-plate: 0.04533049918245524
P22_07_25364-remove-plate: 0.9742509329225868
P22_08_25638-close-tap: 0.0025542233920283763
P22_08_25664-lather-plate: 0.9886531131342053
P22_08_25702-empty-pot: 0.31018853903515264
P22_08_25740-pick-up-pan: 0.5742943882214604
P22_08_25748-lather-pan: 0.891853990542586
P22_08_25752-rinse-spoon: 0.6637516256632807
P22_08_25853-rinse-glass: 0.41318345520994626
P22_08_25857-rinse-cloth: 0.5696477421734016
P22_09_26001-put-down-plate: 0.8733319877646863
P22_09_26033-open-drawer: 0.8167289487755625
P22_09_26061-lather-bowl: 0.0010956285032079904
P22_09_26136-rinse-cloth: 0.6661038817546796
P22_10_26287-rinse-bowl: 0.5955503813556788
P22_10_26318-pick-up-spoon: 0.2039739164774801
P22_10_26319-lather-spoon: 0.19947524958479335
P22_10_26340-pick-up-bowl: 0.3827193449351398
P22_10_26426-lather-glass: 0.863382318377262
P22_10_26508-empty-bottle: 0.008130866642060752
P22_10_26511-empty-bottle: 0.03827400165027939
P22_11_26606-place-glass: 0.8747036960849073
P22_11_26644-put-down-bowl: 0.5909700901347605
P22_11_26763-rinse-glass: 0.1338409914473715
P22_12_26841-open-drawer: 0.9012935633509187
P22_12_26959-put-plate: 0.8661270486190915
P22_13_27105-open-tap: 0.7873113342793658
