Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_fade_test_summed.pt
P15_03_19848-dry-pan: 0.060360824412782677
P15_08_19995-open-drawer: 0.01092967410897927
P15_08_19998-pick-up-cloth: 0.05111604371991205
P15_08_20028-put-away-glass: 0.8012129288108554
P15_08_20061-put-down-cloth: 0.0043582423495536204
P15_13_20124-place-bowl: 0.006479968646999623
P15_13_20139-rinse-lid: 0.9422437476896448
P15_13_20166-rinse-cloth: 0.0643936890119221
P17_03_20405-close-tap: 0.5455120258266106
P17_04_20444-open-fridge: 0.38289222055027494
P19_03_21333-close-cupboard: 0.9290558453358244
P19_04_21364-open-fridge: 0.23608619537117193
P20_01_21490-rinse-meat: 0.5110509955993621
P20_01_21503-rinse-meat: 0.38664868047635537
P20_01_21556-pick-up-bowl: 0.4360290474824069
P20_01_21560-rinse-bowl: 0.1132366201009063
P20_01_21588-open-drawer: 0.6716515854204772
P20_01_21611-rinse-spatula: 0.788816961196062
P20_01_21617-rinse-spatula: 0.6787694706272305
P20_01_21626-flip-meat: 0.7534940088371513
P20_01_21640-flip-meat: 0.6937124509568093
P20_01_21644-press-spatula: 0.287419279336973
P20_01_21652-press-spatula: 0.8149286114767165
P20_01_21658-stir-meat: 0.05028959120681975
P20_01_21671-press-spatula: 0.686601380321008
P20_01_21676-stir-meat: 0.005448412761325017
P20_01_21684-flip-meat: 0.7617480660992442
P20_01_21686-press-spatula: 0.6842016987193347
P20_01_21699-stir-meat: 0.21373862992913928
P20_01_21711-press-spatula: 0.6949769076582015
P20_01_21745-flip-meat: 0.40595336926344316
P20_01_21755-press-spatula: 0.7440713643718482
P20_01_21757-press-spatula: 0.8152286351814837
P20_01_21758-press-spatula: 0.8306147153180063
P20_01_21764-move-meat: 0.44013170634570997
P20_01_21798-pick-up-meat: 0.7826693010720192
P20_01_21820-pick-up-spatula: 0.594250292486322
P20_01_21824-put-down-spatula: 0.6982294842291594
P20_02_21843-turn-on-tap: 0.7218589024851099
P20_02_21859-wash-bowl: 0.6662775441172926
P20_03_21981-put-fork: 0.018392782218516167
P20_04_22059-pick-up-meat: 0.10636741043708753
P20_04_22090-rinse-meat: 0.48967658045876306
P20_04_22188-open-drawer: 0.03846331969543826
P20_04_22222-wash-knife: 0.003635198976553511
P20_04_22308-put-down-spatula: 0.7902634355396003
P20_04_22332-open-fridge: 0.323028568913287
P21_01_22625-close-fridge: 0.0010843635500350501
P22_05_24164-place-bottle: 0.7229024242551532
P22_06_24730-lather-glass: 0.4052069269528147
P22_06_24739-lather-fork: 0.25692043435992673
P22_07_24883-rinse-cloth: 0.06200403763796203
P22_07_24894-lather-glass: 0.782100915297633
P22_07_24993-put-down-cloth: 0.8261006199463736
P22_07_25167-put-down-pot: 0.08965472334330116
P22_07_25302-rinse-spoon: 0.532102419736475
P22_07_25325-pick-up-plate: 0.7281322726048529
P22_07_25357-put-down-glass: 0.1807173669389499
P22_07_25363-remove-plate: 0.053097386728040874
P22_07_25364-remove-plate: 0.7960590326692909
P22_08_25638-close-tap: 0.0048398061039485185
P22_08_25664-lather-plate: 0.9566839234903455
P22_08_25702-empty-pot: 0.3232767951558344
