Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_cylinder_summed.pt
P20_01_21711-press-spatula: 0.7539898008453747
P20_01_21745-flip-meat: 0.7611569104246314
P20_01_21755-press-spatula: 0.9093832224953076
P20_01_21757-press-spatula: 0.8920342773544689
P20_01_21758-press-spatula: 0.8020476294095715
P20_01_21764-move-meat: 0.5990189237981554
P20_01_21798-pick-up-meat: 0.5254664494186159
P20_01_21820-pick-up-spatula: 0.6138053429658612
P20_01_21824-put-down-spatula: 0.902586627553319
P20_02_21843-turn-on-tap: 0.7407505104143866
P20_02_21859-wash-bowl: 0.8139296739482234
P20_03_21981-put-fork: 0.016715488413898028
P20_04_22059-pick-up-meat: 0.021146201432145517
P20_04_22090-rinse-meat: 0.29991254033478754
P20_04_22188-open-drawer: 0.39550199271616293
P20_04_22222-wash-knife: 0.00769933277615531
P20_04_22308-put-down-spatula: 0.8812758582989773
P20_04_22332-open-fridge: 0.3482905932596623
P21_01_22625-close-fridge: 0.7081324668961315
P22_05_24164-place-bottle: 0.7933500650046881
P22_06_24730-lather-glass: 0.1939731754166587
P22_06_24739-lather-fork: 0.45353365199116524
P22_07_24883-rinse-cloth: 0.442768130995546
P22_07_24894-lather-glass: 0.033629167785051095
P22_07_24993-put-down-cloth: 0.6939500054197651
P22_07_25167-put-down-pot: 0.09447865770067665
P22_07_25302-rinse-spoon: 0.013017116238188464
P22_07_25325-pick-up-plate: 0.7756683310335575
P22_07_25357-put-down-glass: 0.017167465960710615
P22_07_25363-remove-plate: 0.30826453304416646
P22_07_25364-remove-plate: 0.3792773264767675
P22_08_25638-close-tap: 0.0008637289219602779
P22_08_25664-lather-plate: 0.956818181167364
P22_08_25702-empty-pot: 0.82322783887372
P22_08_25740-pick-up-pan: 0.3202354122373663
P22_08_25748-lather-pan: 0.4638310967840198
P22_08_25752-rinse-spoon: 0.7871759258050588
P22_08_25853-rinse-glass: 0.5494304902888416
P22_08_25857-rinse-cloth: 0.48909544021285
P22_09_26001-put-down-plate: 0.4540360649889408
P22_09_26033-open-drawer: 0.8328679292462766
P22_09_26061-lather-bowl: 0.01026327929253057
P22_09_26136-rinse-cloth: 0.6802442742830408
P22_10_26287-rinse-bowl: 0.9193645089053462
P22_10_26318-pick-up-spoon: 0.034791701363688136
P22_10_26319-lather-spoon: 0.14275902855297318
P22_10_26340-pick-up-bowl: 0.6373540872828016
P22_10_26426-lather-glass: 0.44560102541367996
P22_10_26508-empty-bottle: 0.8634123887109126
P22_10_26511-empty-bottle: 0.719100150623035
P22_11_26606-place-glass: 0.8132787959686993
P22_11_26644-put-down-bowl: 0.8543664186381648
P22_11_26763-rinse-glass: 0.005077752129883761
P22_12_26841-open-drawer: 0.954347678925842
P22_12_26959-put-plate: 0.5204955272683947
P22_13_27105-open-tap: 0.4377102159720607
P22_13_27110-rinse-sponge: 0.3979113018300495
P22_13_27135-rinse-sponge: 0.5131347831498942
P22_13_27154-rinse-knife: 0.6084907172598832
P22_13_27218-wash-cloth: 0.46978255174167316
P22_14_27373-open-drawer: 0.9080936401151121
P22_14_27404-open-tap: 0.5856043889012881
P22_14_27451-put-down-bowl: 0.09612919265578057
P22_14_27458-lather-knife: 0.5597845910933756
P22_14_27459-rinse-knife: 0.12284046754302835
P22_14_27462-put-down-spatula: 0.0025429618888638023
P22_15_27640-put-down-plate: 0.8142435630625187
P22_15_27737-close-tap: 0.033484434121078266
P22_16_27934-put-down-cloth: 0.06673194821837569
P22_16_28015-cut-onion: 0.624674595185752
P22_16_28020-peel-onion: 0.6727029199164463
P22_16_28022-peel-onion: 0.6422048809390617
P22_16_28038-slice-onion: 0.6977317903574658
P22_16_28319-move-cloth: 0.5930769102035356
P22_16_28320-pick-up-cloth: 0.4592602779941899
P22_16_28411-open-drawer: 0.9885534732602537
P22_17_28425-move-bowl: 0.8292702405833552
P22_17_28449-lather-fork: 0.003492148592471267
P22_17_28547-put-down-pan: 0.019408471318769216
P22_17_28573-open-tap: 0.0006206272106179245
P22_17_28584-lather-fork: 0.772854324648506
P22_17_28642-fill-bottle: 0.3115394437277246
P22_17_28649-rinse-bottle: 0.6606001310224201
P22_17_28658-rinse-sponge: 0.029422461388435295
