Loaded /home/lzq/ExpEval/exe_res/epic_r50l_la_full.pt
P20_01_21611-rinse-spatula: 0.05102740648362669
P20_01_21617-rinse-spatula: 0.011491670837131096
P20_01_21626-flip-meat: 0.3140498421616371
P20_01_21640-flip-meat: 0.3912378273434456
P20_01_21644-press-spatula: 0.06072737479917123
P20_01_21652-press-spatula: 0.09397483012071461
P20_01_21658-stir-meat: 0.17033577696378188
P20_01_21671-press-spatula: 0.28267852963108453
P20_01_21676-stir-meat: 0.2716191167473312
P20_01_21684-flip-meat: 0.34406364089767294
P20_01_21686-press-spatula: 0.32790072263378534
P20_01_21699-stir-meat: 0.06797714424277501
P20_01_21711-press-spatula: 0.2299071997513238
P20_01_21745-flip-meat: 0.13894989420617776
P20_01_21755-press-spatula: 0.22747850419182214
P20_01_21757-press-spatula: 0.2988347858299676
P20_01_21758-press-spatula: 0.24116307917211088
P20_01_21764-move-meat: 0.16688717142636733
P20_01_21798-pick-up-meat: 0.082762636104178
P20_01_21820-pick-up-spatula: 0.17762461724851164
P20_01_21824-put-down-spatula: 0.17189254217009875
P20_02_21843-turn-on-tap: 0.3862121293151972
P20_02_21859-wash-bowl: 0.7372918098244554
P20_03_21981-put-fork: 0.1473368229371903
P20_04_22059-pick-up-meat: 0.00022380213152928263
P20_04_22090-rinse-meat: 0.04455500664147394
P20_04_22188-open-drawer: 0.0607277215240174
P20_04_22222-wash-knife: 0.010488792898740162
P20_04_22308-put-down-spatula: 0.2692959245869133
P20_04_22332-open-fridge: 0.04830196956027066
P21_01_22625-close-fridge: 0.007771464668621775
P22_05_24164-place-bottle: 0.28795372868989944
P22_06_24730-lather-glass: 0.01694382860227961
P22_06_24739-lather-fork: 0.8135212680499535
P22_07_24883-rinse-cloth: 0.04609736062980119
P22_07_24894-lather-glass: 0.016162626405389346
P22_07_24993-put-down-cloth: 0.2570137461500508
P22_07_25167-put-down-pot: 0.033536805536527936
P22_07_25302-rinse-spoon: 0.47479899561585626
P22_07_25325-pick-up-plate: 0.4123902400797306
P22_07_25357-put-down-glass: 0.003037146572069105
P22_07_25363-remove-plate: 0.24731429850453424
P22_07_25364-remove-plate: 0.41409403745365125
P22_08_25638-close-tap: 0.000773822649993467
P22_08_25664-lather-plate: 0.7890576301915644
P22_08_25702-empty-pot: 0.023684716344973822
P22_08_25740-pick-up-pan: 0.10168177980176552
P22_08_25748-lather-pan: 0.04281551450276311
P22_08_25752-rinse-spoon: 0.7378608904109569
P22_08_25853-rinse-glass: 0.39293289259444464
P22_08_25857-rinse-cloth: 0.0877047908345503
P22_09_26001-put-down-plate: 0.33309284651932103
P22_09_26033-open-drawer: 0.4697965173982084
P22_09_26061-lather-bowl: 0.03832280655899467
P22_09_26136-rinse-cloth: 0.02097763501501504
P22_10_26287-rinse-bowl: 0.7810308902535326
P22_10_26318-pick-up-spoon: 0.22564664187619676
P22_10_26319-lather-spoon: 0.05769886197231244
P22_10_26340-pick-up-bowl: 0.7948008889343328
P22_10_26426-lather-glass: 0.21744946558396805
P22_10_26508-empty-bottle: 0.23310277692144155
P22_10_26511-empty-bottle: 0.16920464054783224
P22_11_26606-place-glass: 0.17785163391749848
P22_11_26644-put-down-bowl: 0.5068173973832018
P22_11_26763-rinse-glass: 0.0016536403761781004
P22_12_26841-open-drawer: 0.20806322386488318
P22_12_26959-put-plate: 0.7475004725465624
P22_13_27105-open-tap: 0.562527855561882
P22_13_27110-rinse-sponge: 0.31499033329748727
P22_13_27135-rinse-sponge: 0.21622047388666488
P22_13_27154-rinse-knife: 0.34189857229375775
P22_13_27218-wash-cloth: 0.002140836868647966
P22_14_27373-open-drawer: 0.2617024867795408
P22_14_27404-open-tap: 0.3362925841303763
P22_14_27451-put-down-bowl: 0.17471661293029683
P22_14_27458-lather-knife: 0.12159186614462669
P22_14_27459-rinse-knife: 0.03304220332665864
P22_14_27462-put-down-spatula: 0.0011230452326317134
P22_15_27640-put-down-plate: 0.6989433845346866
P22_15_27737-close-tap: 0.008592321794083091
P22_16_27934-put-down-cloth: 0.03517068565838599
P22_16_28015-cut-onion: 0.32954449135922914
P22_16_28020-peel-onion: 0.49238983936720615
P22_16_28022-peel-onion: 0.30118921421581035
P22_16_28038-slice-onion: 0.5060982082422925
P22_16_28319-move-cloth: 0.004002681080464754
P22_16_28320-pick-up-cloth: 0.0054034044353556965
P22_16_28411-open-drawer: 0.2876386730931699
P22_17_28425-move-bowl: 0.23423544755314651
P22_17_28449-lather-fork: 0.3584298924419045
P22_17_28547-put-down-pan: 0.0014254598842953214
P22_17_28573-open-tap: 0.0008605583163013852
P22_17_28584-lather-fork: 0.5683726032439154
P22_17_28642-fill-bottle: 0.0017006402449624147
P22_17_28649-rinse-bottle: 0.09399676380780875
P22_17_28658-rinse-sponge: 0.024625917295793442
P22_17_28740-pick-up-plate: 0.8673337186528443
P22_17_28854-put-down-glass: 0.11372956126365352
P22_17_28855-put-down-glass: 0.020429823132189995
P22_17_28870-put-down-plate: 0.1058133513042776
P22_17_28903-dry-knife: 0.08990618948610063
P23_02_29082-wash-plate: 0.4461014243615864
P23_02_29125-open-fridge: 0.053584936911647674
P23_02_29204-close-tap: 0.0008524734532215916
P23_04_29364-clean-bowl: 0.30038368674104277
P24_01_29576-grab-cloth: 0.10207284063494626
P24_02_29640-open-fridge: 0.13559352224547183
P24_02_29661-close-fridge: 0.09841435858834302
P24_02_29710-turn-meat: 0.10444344705859976
P24_02_29718-cut-meat: 0.1278076780490096
P24_02_29727-take-meat: 4.849051779132196e-05
P24_02_29739-flip-meat: 0.11793556935111837
