The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_summed.pt
P24_08_30692-cut-onion: 0.9150348498029451
P24_08_30777-pick-up-lid: 0.4675102360546589
P24_08_30836-take-bottle: 0.4870222291233493
P24_08_30897-pick-up-lid: 0.25114611313477453
P24_08_30965-open-tap: 0.001452670156340544
P25_02_31371-pick-up-pot: 0.11345049557002151
P25_02_31387-put-down-lid: 0.07100082451824623
P25_02_31397-turn-tap: 0.3788684828791256
P25_02_31398-turn-tap: 0.21179339318883186
P25_05_31483-put-down-pan: 0.8530168178765213
P25_05_31499-close-tap: 0.543703321871512
P25_05_31558-open-cupboard: 0.01765144333316415
P25_05_31564-put-down-fork: 0.078386631870971
P25_05_31574-pick-up-spoon: 0.04520601894610616
P25_12_31949-open-drawer: 0.03455248467039828
P26_02_32021-put-down-fork: 0.16946677112239686
P26_02_32022-open-fridge: 0.36117191619933675
P26_02_32061-put-down-fork: 0.24092614323987316
P26_03_32116-lather-pan: 0.49865027124098704
P26_03_32126-rinse-glass: 0.35356498608986536
P26_03_32127-soap-glass: 0.44512765842909907
P26_04_32152-put-lid: 0.5959475321220417
P26_06_32189-close-lid: 0.576180377777885
P26_08_32201-put-down-spoon: 0.47506472909293485
P26_09_32220-pick-up-pot: 0.3549183928499035
P26_09_32221-put-down-pot: 0.24317320943170903
P26_09_32230-pick-up-pot: 0.10498038299527823
P26_10_32236-pick-up-pot: 0.006564548723034414
P26_10_32241-put-pot: 0.007070865279848815
P26_10_32247-open-fridge: 0.5154620612551476
P26_12_32292-close-lid: 0.5444260514834348
P26_13_32297-open-lid: 0.8550875340606652
P26_13_32317-put-down-spoon: 0.19035732946906458
P26_13_32319-put-lid: 0.638959737034405
P26_17_32347-take-spoon: 0.03670397582897624
P26_17_32353-put-down-plate: 0.8713352900509741
P26_18_32372-take-plate: 0.1441495446305649
P26_19_32404-pick-up-pot: 0.003102439552757834
P26_19_32434-put-down-glass: 0.22504400153662643
P26_19_32490-pick-up-pot: 0.056643279565169534
P26_19_32492-put-pot: 0.16973011137223712
P26_21_32505-close-cupboard: 0.15652336399710062
P26_28_32674-grab-fork: 0.0006281955373945975
P26_29_32690-put-lid: 0.7168644852936268
P27_01_32893-pick-up-fork: 0.15213509352019458
P27_04_33002-place-sponge: 0.012940602241010934
P27_06_33144-pick-up-spoon: 0.15652463207130923
P27_06_33145-pick-up-fork: 0.039396642864334815
P27_07_33177-take-cloth: 0.007062274330197469
P27_07_33257-turn-on-tap: 0.2698294186708974
P28_01_33343-put-down-pan: 0.7317169377616808
P28_02_33398-put-down-spatula: 0.0005624342180204157
P28_02_33400-wash-knife: 0.5249161480469446
P28_02_33474-turn-on-tap: 0.3155283828138136
P28_02_33479-turn-on-tap: 0.3736461782645361
P28_02_33489-turn-on-tap: 0.010224688588641584
P28_03_33614-peel-potato: 0.7079503129802498
P28_03_33621-turn-off-tap: 0.009375426111121972
P28_04_33682-cut-potato: 0.4780193272466753
P28_05_33779-put-down-knife: 0.2399241903157649
P28_06_33862-take-knife: 0.35190667576138296
P28_06_33958-take-spoon: 0.03448725497423141
P28_08_34040-wash-knife: 0.35486667341753547
P28_09_34091-open-fridge: 0.6023606798629842
P28_09_34141-turn-on-tap: 0.372164663847755
P28_13_34301-put-pan: 0.9439892072303623
P28_14_34393-put-down-sponge: 0.4432234718153874
P28_14_34394-turn-on-tap: 0.2160101069758336
P28_14_34396-turn-off-tap: 0.12671445216618332
P29_01_34867-chop-onion: 0.9004125069918147
P29_01_34868-chop-onion: 0.8877397469171853
P29_01_34877-chop-onion: 0.8162861312027363
P29_01_34902-chop-onion: 0.9182362204381064
P29_02_35181-move-fork: 0.1625841881312868
P29_02_35206-open-drawer: 0.486456193438932
P29_03_35254-put-down-glass: 0.36218161489449296
P29_03_35265-close-cupboard: 0.12108999354143937
P29_03_35296-move-pan: 0.4743084996062167
P29_03_35335-pick-up-spatula: 0.043440453436079565
P29_03_35355-pick-up-fork: 0.36605489715276396
P29_03_35439-pick-up-bowl: 0.28579658896059673
P29_03_35461-rinse-bowl: 0.04687682651805089
P29_03_35497-scour-knife: 0.015750519947865613
P29_03_35528-pick-up-plate: 0.2342982794578169
P29_03_35562-scour-spatula: 0.21097604064133896
P29_03_35564-scour-spatula: 0.2198685267134387
P29_03_35632-pick-up-bowl: 0.02741173966285572
P29_04_35774-open-fridge: 0.18175040973606063
P30_03_36639-clean-knife: 0.2790233768175776
P30_04_36678-take-fork: 0.20901512330142305
P30_05_36874-put-onion: 0.8529702830384029
P30_05_36904-chop-onion: 0.8449065747469956
P30_05_36922-chop-onion: 0.931808172352612
P30_05_37020-open-cupboard: 0.4047920443811545
P30_05_37240-open-cupboard: 0.33579328006096915
P30_05_37272-wash-spoon: 0.010958870911203763
P30_05_37511-take-plate: 0.6039106160986657
P30_05_37535-empty-bottle: 0.31054568352068174
P30_06_37605-dry-fork: 0.015065742671197537
P30_06_37668-rinse-plate: 0.8402701686410343
P30_06_37674-rinse-bowl: 0.35077202751246445
P30_10_38341-take-spoon: 0.4512287589903994
P30_10_38504-rinse-fork: 0.005507177401869187
P30_10_38535-take-spoon: 0.5170340552140831
P30_10_38579-rinse-sponge: 0.015355395290124066
P30_11_38596-rinse-plate: 0.7678001205710804
P30_11_38661-wash-spoon: 0.341254216065749
P30_11_38673-rise-sponge: 0.005534867421888253
P31_01_38722-take-glass: 0.06383681589481878
P31_08_38926-open-fridge: 0.049070336289849935
P31_08_38943-open-fridge: 0.3801211512227561
Average: 0.0/0.3644255475241768
