Loaded /home/lzq/ExpEval/exe_res/epic_r50l_eb_full_abs2.pt
P25_02_31387-put-down-lid: 0.16509755207562193
P25_02_31397-turn-tap: 0.6218862446787057
P25_02_31398-turn-tap: 0.47107118943876003
P25_05_31483-put-down-pan: 0.4879320396704543
P25_05_31499-close-tap: 0.4065834450831858
P25_05_31558-open-cupboard: 0.2577091214916436
P25_05_31564-put-down-fork: 0.04407011684816098
P25_05_31574-pick-up-spoon: 0.0025287522986445765
P25_12_31949-open-drawer: 0.9514944641850889
P26_02_32021-put-down-fork: 0.5730778646975523
P26_02_32022-open-fridge: 0.7443783517355769
P26_02_32061-put-down-fork: 0.027461825622594915
P26_03_32116-lather-pan: 0.5249526864046175
P26_03_32126-rinse-glass: 0.8425822330675601
P26_03_32127-soap-glass: 0.838018836270976
P26_04_32152-put-lid: 0.6529346366592108
P26_06_32189-close-lid: 0.8487481444321929
P26_08_32201-put-down-spoon: 0.9015067507352796
P26_09_32220-pick-up-pot: 0.4091316591062082
P26_09_32221-put-down-pot: 0.512877919389723
P26_09_32230-pick-up-pot: 0.18627086284556071
P26_10_32236-pick-up-pot: 0.15189325707484613
P26_10_32241-put-pot: 0.007401272856952801
P26_10_32247-open-fridge: 0.7861216439760028
P26_12_32292-close-lid: 0.8974550624557196
P26_13_32297-open-lid: 0.8246940036483466
P26_13_32317-put-down-spoon: 0.9012443906467524
P26_13_32319-put-lid: 0.7709053416915594
P26_17_32347-take-spoon: 0.6101197413008776
P26_17_32353-put-down-plate: 0.9169601877993045
P26_18_32372-take-plate: 0.03510976660345477
P26_19_32404-pick-up-pot: 0.07728111967895757
P26_19_32434-put-down-glass: 0.7491111462506979
P26_19_32490-pick-up-pot: 0.7444751063872559
P26_19_32492-put-pot: 0.08348438306944672
P26_21_32505-close-cupboard: 0.029130089140380733
P26_28_32674-grab-fork: 0.006785569593008356
P26_29_32690-put-lid: 0.0009598767334750846
P27_01_32893-pick-up-fork: 0.01564738408433186
P27_04_33002-place-sponge: 0.32738116804250694
P27_06_33144-pick-up-spoon: 0.03159759010395646
P27_06_33145-pick-up-fork: 0.009240656874681008
P27_07_33177-take-cloth: 0.0013562894854288743
P27_07_33257-turn-on-tap: 0.11036180640275006
P28_01_33343-put-down-pan: 0.00210215692571572
P28_02_33398-put-down-spatula: 0.0012477108157311551
P28_02_33400-wash-knife: 0.7519422407613092
P28_02_33474-turn-on-tap: 0.798367817589849
P28_02_33479-turn-on-tap: 0.8387348807247577
P28_02_33489-turn-on-tap: 0.021753681729349772
P28_03_33614-peel-potato: 0.7200797066599307
P28_03_33621-turn-off-tap: 0.00046409264376734427
P28_04_33682-cut-potato: 0.8330186467193244
P28_05_33779-put-down-knife: 0.012479253234232601
P28_06_33862-take-knife: 0.8042966524490112
P28_06_33958-take-spoon: 0.19627276191749843
P28_08_34040-wash-knife: 0.006078263246134252
P28_09_34091-open-fridge: 0.851723480865985
P28_09_34141-turn-on-tap: 0.48577993566340183
P28_13_34301-put-pan: 0.35047450313697937
P28_14_34393-put-down-sponge: 0.016506219383359166
P28_14_34394-turn-on-tap: 0.7630747702734766
P28_14_34396-turn-off-tap: 0.0013825385031198678
P29_01_34867-chop-onion: 0.72583711216339
P29_01_34868-chop-onion: 0.3845992345513878
P29_01_34877-chop-onion: 0.7992668417200548
P29_01_34902-chop-onion: 0.7398731720086289
P29_02_35181-move-fork: 0.012794964668501052
P29_02_35206-open-drawer: 0.9943502501118928
P29_03_35254-put-down-glass: 0.5963301221411257
P29_03_35265-close-cupboard: 0.7829770300741075
P29_03_35296-move-pan: 0.06980252663026931
P29_03_35335-pick-up-spatula: 0.012525365278634126
P29_03_35355-pick-up-fork: 0.5703850982099539
P29_03_35439-pick-up-bowl: 0.8895117609881709
P29_03_35461-rinse-bowl: 0.4978154869404534
P29_03_35497-scour-knife: 0.005720493511944369
P29_03_35528-pick-up-plate: 0.882096775419086
P29_03_35562-scour-spatula: 0.7600565073425969
P29_03_35564-scour-spatula: 0.6257665942302992
P29_03_35632-pick-up-bowl: 0.48440393560122175
P29_04_35774-open-fridge: 0.08938720861442562
P30_03_36639-clean-knife: 0.14460142460534087
P30_04_36678-take-fork: 0.16541199477796908
P30_05_36874-put-onion: 0.09933005726543342
P30_05_36904-chop-onion: 0.7128542687196386
P30_05_36922-chop-onion: 0.7390681512106312
P30_05_37020-open-cupboard: 0.8896266905794619
P30_05_37240-open-cupboard: 0.892651767397183
P30_05_37272-wash-spoon: 0.0671730407184441
P30_05_37511-take-plate: 0.789186995786622
P30_05_37535-empty-bottle: 0.38006405473379345
P30_06_37605-dry-fork: 0.6101802259072429
P30_06_37668-rinse-plate: 0.7442861700737922
P30_06_37674-rinse-bowl: 0.4064223267723719
P30_10_38341-take-spoon: 0.6830988432120648
P30_10_38504-rinse-fork: 0.005307385361405181
P30_10_38535-take-spoon: 0.9734834384944406
P30_10_38579-rinse-sponge: 0.29033768667579807
P30_11_38596-rinse-plate: 0.8005223463596849
P30_11_38661-wash-spoon: 0.7131306500014034
P30_11_38673-rise-sponge: 0.028701453427515844
P31_01_38722-take-glass: 0.0018741591707254202
P31_08_38926-open-fridge: 0.7728315912081598
P31_08_38943-open-fridge: 0.8468687421536742
Finished: cm_16, ins, most_first, epic, r50l, eb, #Step=128
Average: 0.46938075866693474
Loaded /home/lzq/ExpEval/exe_res/epic_r50l_eb_full_abs2.pt
P01_01_11-close-fridge: 0.7584053761220275
P01_01_227-take-glass: 0.01202511581958702
P01_01_246-put-down-spatula: 0.7385409921753308
P01_01_254-put-down-spoon: 0.7734569752428797
P01_01_255-open-cupboard: 0.5193491111713229
P01_01_305-take-spatula: 0.7790000290024182
P01_01_324-wash-pan: 0.708746037458809
P01_01_49-take-spatula: 0.19829918610594177
P01_01_76-take-onion: 0.9296999305870486
P01_02_338-rinse-sponge: 0.000654147013108286
P01_02_387-rinse-spoon: 0.16428266470937558
P01_02_417-rinse-fork: 0.0027924154553429226
P01_02_421-rinse-plate: 0.7981792190885244
P01_03_489-move-bottle: 0.6938292212939814
P01_03_493-open-cupboard: 0.4981532831880031
P01_05_562-take-plate: 0.6558087548082767
P01_05_628-peel-potato: 0.8509636383079169
P01_05_629-put-down-potato: 0.029409560792487355
P01_05_743-open-drawer: 0.9919018833898008
P01_06_830-wash-fork: 0.013714765837761433
P01_06_896-rinse-knife: 0.2718599335175895
P01_06_921-rinse-cloth: 0.4185565384889287
P01_07_955-open-cupboard: 0.7612994899245678
P01_09_1034-put-down-potato: 0.0015350089439607473
P01_09_1170-wash-spatula: 0.6421430479149421
P01_09_1180-rinse-spatula: 0.7539537996399304
P01_09_1229-pour-potato: 0.051629141422495195
P01_09_1528-open-drawer: 0.8727184096351266
P01_09_1551-take-potato: 0.11866384665893293
P01_09_1678-open-fridge: 0.5332161680689751
P01_09_1743-open-fridge: 0.5780904904368072
P01_09_1859-take-plate: 0.8557666620081363
P01_16_2820-put-glass: 0.48053789888876963
P01_16_2866-close-cupboard: 0.7662151257245569
P01_17_2886-open-cupboard: 0.8428177818859695
P01_17_3150-rinse-cloth: 0.20129282291441086
P01_18_3170-open-fridge: 0.4752129501557647
P01_18_3324-hang-cloth: 0.6229824650420142
P01_18_3454-take-lid: 0.9378133674331366
P01_18_3469-turn-on-tap: 0.7052121350372431
P01_18_3548-open-drawer: 0.974544235970825
P01_18_3688-take-sponge: 0.7455144152205548
P01_19_3910-rinse-glass: 0.0026011802584631066
P01_19_3913-rinse-knife: 0.0028441607257149344
P01_19_3950-rinse-sponge: 0.01060335529666645
P01_19_3973-rinse-cloth: 0.7744687223660094
P01_19_3976-rinse-cloth: 0.013213671185667408
P01_19_3986-hang-cloth: 0.7374778474534196
P02_01_4005-open-cupboard: 0.4048728611523984
P02_01_4033-put-spoon: 0.32879111008514883
P02_02_4107-wash-knife: 0.6150009412203872
P02_02_4111-wash-spoon: 0.934103844112542
P02_02_4113-wash-spoon: 0.9565589806370554
P02_03_4188-put-lid: 0.0013502521321413496
P02_03_4202-close-cupboard: 0.0028291084477132245
P02_03_4206-open-fridge: 0.8830691463208495
P02_03_4277-put-onion: 0.8420604106422616
P02_03_4296-pick-pot: 0.0010084978044346826
P02_03_4427-stir-onion: 0.5771610841538859
P02_03_4506-pick-up-pot: 0.005089126062159721
P02_04_4579-pick-up-glass: 0.7505404539908795
