Loaded /home/lzq/ExpEval/exe_res/epic_r50l_eb_full.pt
P22_08_25853-rinse-glass: 0.8157458312846302
P22_08_25857-rinse-cloth: 0.6308571901956839
P22_09_26001-put-down-plate: 0.5570826014345585
P22_09_26033-open-drawer: 0.9954169481061399
P22_09_26061-lather-bowl: 0.003726045347377749
P22_09_26136-rinse-cloth: 0.17298910681552115
P22_10_26287-rinse-bowl: 0.856715139665539
P22_10_26318-pick-up-spoon: 0.018408202456598903
P22_10_26319-lather-spoon: 0.01944867891870672
P22_10_26340-pick-up-bowl: 0.901727508951808
P22_10_26426-lather-glass: 0.812083551477599
P22_10_26508-empty-bottle: 0.6082189168005243
P22_10_26511-empty-bottle: 0.8529677124383852
P22_11_26606-place-glass: 0.6021454351059674
P22_11_26644-put-down-bowl: 0.8534820645236323
P22_11_26763-rinse-glass: 0.006220365253986115
P22_12_26841-open-drawer: 0.9888313501141965
P22_12_26959-put-plate: 0.9683760337838976
P22_13_27105-open-tap: 0.8733794891106186
P22_13_27110-rinse-sponge: 0.6489595985200367
P22_13_27135-rinse-sponge: 0.7482206281434856
P22_13_27154-rinse-knife: 0.43165485247754987
P22_13_27218-wash-cloth: 0.02415136051990885
P22_14_27373-open-drawer: 0.9955093353055418
P22_14_27404-open-tap: 0.8101016475649772
P22_14_27451-put-down-bowl: 0.04060575986579806
P22_14_27458-lather-knife: 0.14265608730511303
P22_14_27459-rinse-knife: 0.017214640659403813
P22_14_27462-put-down-spatula: 0.001142623286611498
P22_15_27640-put-down-plate: 0.8914387306040226
P22_15_27737-close-tap: 0.01630286644848411
P22_16_27934-put-down-cloth: 0.002041318965211758
P22_16_28015-cut-onion: 0.7137180932249976
P22_16_28020-peel-onion: 0.7568605656188083
P22_16_28022-peel-onion: 0.7342717053752494
P22_16_28038-slice-onion: 0.744351980501051
P22_16_28319-move-cloth: 0.5064095503969384
P22_16_28320-pick-up-cloth: 0.10553101458049241
P22_16_28411-open-drawer: 0.9861834733746946
P22_17_28425-move-bowl: 0.8051188557528803
P22_17_28449-lather-fork: 0.012813380453138734
P22_17_28547-put-down-pan: 0.007286584372508287
P22_17_28573-open-tap: 0.004688462958393119
P22_17_28584-lather-fork: 0.6978182757593459
P22_17_28642-fill-bottle: 0.14512267949567104
P22_17_28649-rinse-bottle: 0.4727709350331679
P22_17_28658-rinse-sponge: 0.0029176269673598654
P22_17_28740-pick-up-plate: 0.9475269402219055
P22_17_28854-put-down-glass: 0.405072996908757
P22_17_28855-put-down-glass: 0.24953142442177523
P22_17_28870-put-down-plate: 0.5781418130109159
P22_17_28903-dry-knife: 0.16250648478762741
P23_02_29082-wash-plate: 0.803131994868636
P23_02_29125-open-fridge: 0.6800757012224494
P23_02_29204-close-tap: 0.018424020449117506
P23_04_29364-clean-bowl: 0.8350557086178014
P24_01_29576-grab-cloth: 0.5798189100662512
P24_02_29640-open-fridge: 0.7671071178174316
P24_02_29661-close-fridge: 0.7370248929491936
P24_02_29710-turn-meat: 0.6377895785025771
P24_02_29718-cut-meat: 0.6333415222815688
P24_02_29727-take-meat: 0.0011214793450387006
P24_02_29739-flip-meat: 0.6301044536284621
P24_02_29747-check-meat: 0.7313433004073318
