Loaded /home/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core5_test_summed.pt
v_CliffDiving_g07_c02: 0.9721783815645704
v_CliffDiving_g07_c03: 0.9461161822664972
v_CliffDiving_g07_c04: 0.9904156336597368
v_CliffDiving_g07_c05: 0.9578198416560304
v_CliffDiving_g07_c06: 0.4219974218630323
v_CricketBowling_g01_c01: 0.5041466332100825
v_CricketBowling_g01_c02: 0.589542027594985
v_CricketBowling_g01_c03: 0.5782550174188252
v_CricketBowling_g01_c04: 0.4678041505836857
v_CricketBowling_g01_c05: 0.5320264004543395
v_CricketBowling_g01_c06: 0.5307934896979186
v_CricketBowling_g01_c07: 0.5948553687192276
v_CricketBowling_g02_c01: 0.10447462703004752
v_CricketBowling_g02_c02: 0.19521438184476175
v_CricketBowling_g02_c03: 0.20013111653408452
v_CricketBowling_g02_c04: 0.2461315691382647
v_CricketBowling_g02_c05: 0.2733737230530845
v_CricketBowling_g02_c06: 0.28960979964647454
v_CricketBowling_g02_c07: 0.17939453521823595
v_CricketBowling_g03_c01: 0.0006560335474995577
v_CricketBowling_g03_c02: 0.0004799458636313705
v_CricketBowling_g03_c03: 0.003406948944600527
v_CricketBowling_g03_c04: 0.00023429210704325313
v_CricketBowling_g04_c01: 0.09634857341848235
v_CricketBowling_g04_c02: 0.2552462558227389
v_CricketBowling_g04_c03: 0.029516733356917138
v_CricketBowling_g04_c04: 0.016108482015761184
v_CricketBowling_g04_c05: 0.00045084573888315763
v_CricketBowling_g05_c01: 0.6252095984897613
v_CricketBowling_g05_c02: 0.5509301021092945
v_CricketBowling_g05_c03: 0.5876827183984995
v_CricketBowling_g05_c04: 0.5971218203118256
v_CricketBowling_g06_c01: 0.2209492860838509
v_CricketBowling_g06_c02: 0.29462041547555834
v_CricketBowling_g06_c03: 0.20008067374414898
v_CricketBowling_g06_c04: 0.5703763024382295
v_CricketBowling_g06_c05: 0.010304022178181684
v_CricketBowling_g07_c01: 0.031154390672974628
v_CricketBowling_g07_c02: 0.005325279684474677
v_CricketBowling_g07_c03: 0.41904216718636306
v_CricketBowling_g07_c04: 0.2145795154444689
v_Diving_g01_c01: 0.6158186543821905
v_Diving_g01_c02: 0.49948383391196793
v_Diving_g01_c03: 0.5444744062742365
v_Diving_g01_c04: 0.5970640437711743
v_Diving_g01_c05: 0.5512424585798655
v_Diving_g01_c06: 0.5631073543877231
v_Diving_g01_c07: 0.528121089282578
v_Diving_g02_c01: 0.5018749701815051
v_Diving_g02_c02: 0.4547584416014348
v_Diving_g02_c03: 0.4936218094356317
v_Diving_g02_c04: 0.47974636268444754
v_Diving_g02_c05: 0.5111514923513145
v_Diving_g02_c06: 0.5445675104582002
v_Diving_g02_c07: 0.5030748968359594
v_Diving_g03_c01: 0.35783879415779235
v_Diving_g03_c02: 0.27345187189693937
v_Diving_g03_c03: 0.44396653061986024
v_Diving_g03_c04: 0.4718421768158841
v_Diving_g03_c05: 0.4473110443612848
v_Diving_g03_c06: 0.24057650370489095
v_Diving_g03_c07: 0.41019774971084155
v_Diving_g04_c01: 0.4174646793192426
v_Diving_g04_c02: 0.2946961800618024
v_Diving_g04_c03: 0.3817207950728891
v_Diving_g04_c04: 0.17073007850347352
v_Diving_g04_c05: 0.5167476429640516
v_Diving_g04_c06: 0.2756539591922489
v_Diving_g04_c07: 0.3962936413244974
v_Diving_g05_c01: 0.47839059650569277
v_Diving_g05_c02: 0.4671776647083735
v_Diving_g05_c03: 0.4614609353333043
v_Diving_g05_c04: 0.4303490263909814
v_Diving_g05_c05: 0.4488951155023339
v_Diving_g05_c06: 0.48753083549558607
v_Diving_g06_c01: 0.2734898610332725
v_Diving_g06_c02: 0.2850470305076919
v_Diving_g06_c03: 0.20247009808195335
v_Diving_g06_c04: 0.3306241307252968
v_Diving_g06_c05: 0.12463324684798079
v_Diving_g06_c06: 0.2262636441480615
v_Diving_g06_c07: 0.2946624650185649
v_Diving_g07_c01: 0.3323295179864634
v_Diving_g07_c02: 0.5413357519477323
v_Diving_g07_c03: 0.250851284936253
v_Diving_g07_c04: 0.2619004058046723
v_Fencing_g01_c01: 0.5195738117950147
v_Fencing_g01_c02: 0.370368754313163
v_Fencing_g01_c03: 0.4137967347952665
v_Fencing_g01_c04: 0.5821820642351739
v_Fencing_g01_c05: 0.35591026520123703
v_Fencing_g01_c06: 0.55184539716426
v_Fencing_g02_c01: 0.6271348547747395
v_Fencing_g02_c02: 0.515751741451266
v_Fencing_g02_c03: 0.5819204560732104
v_Fencing_g02_c04: 0.6980106135364622
v_Fencing_g02_c05: 0.5925036093261202
v_Fencing_g03_c01: 0.47070261636639343
v_Fencing_g03_c02: 0.2523970520653415
v_Fencing_g03_c03: 0.4562927459622277
v_Fencing_g03_c04: 0.5718483100766225
v_Fencing_g03_c05: 0.44656376598275027
v_Fencing_g04_c01: 0.4433102439739741
v_Fencing_g04_c02: 0.4537261327744608
v_Fencing_g04_c03: 0.6268539864259461
v_Fencing_g04_c04: 0.6035579801934278
v_Fencing_g04_c05: 0.5893953423634373
v_Fencing_g05_c01: 0.571512339361852
v_Fencing_g05_c02: 0.4245201801913151
v_Fencing_g05_c03: 0.5097322733652796
v_Fencing_g05_c04: 0.3154736610035887
v_Fencing_g05_c05: 0.8831498936663253
v_Fencing_g06_c01: 0.5534124235713891
v_Fencing_g06_c02: 0.5702924804617058
v_Fencing_g06_c03: 0.5922906790830322
v_Fencing_g06_c04: 0.5779590175354707
v_Fencing_g07_c01: 0.7121359345320539
v_Fencing_g07_c02: 0.677456920431452
v_Fencing_g07_c03: 0.7746296995716607
v_Fencing_g07_c04: 0.6944509557427784
v_FloorGymnastics_g01_c01: 0.46054090004126563
v_FloorGymnastics_g01_c02: 0.5371076294829205
v_FloorGymnastics_g01_c03: 0.45499057696858347
v_FloorGymnastics_g01_c04: 0.5319661999914103
v_FloorGymnastics_g01_c05: 0.48004801943115366
v_FloorGymnastics_g02_c01: 0.17703556155126232
v_FloorGymnastics_g02_c02: 0.23950833807261113
v_FloorGymnastics_g02_c03: 0.28794705963872214
v_FloorGymnastics_g02_c04: 0.39177584626643996
v_FloorGymnastics_g03_c01: 0.2912678094143606
v_FloorGymnastics_g03_c02: 0.15504182061574515
v_FloorGymnastics_g03_c03: 0.2840555916151774
v_FloorGymnastics_g03_c04: 0.20503610341450743
v_FloorGymnastics_g04_c01: 0.5161639496872108
v_FloorGymnastics_g04_c02: 0.515845820435628
v_FloorGymnastics_g04_c03: 0.36606050796501366
v_FloorGymnastics_g04_c04: 0.562242977349032
v_FloorGymnastics_g04_c05: 0.4339142756504396
v_FloorGymnastics_g05_c01: 0.42398811723784696
v_FloorGymnastics_g05_c02: 0.5523694689635704
v_FloorGymnastics_g05_c03: 0.4362519910087976
v_FloorGymnastics_g05_c04: 0.569241118266084
v_FloorGymnastics_g06_c01: 0.4243551374253002
v_FloorGymnastics_g06_c02: 0.33321107324882177
v_FloorGymnastics_g06_c03: 0.491681149559693
v_FloorGymnastics_g06_c04: 0.13877920499706342
v_FloorGymnastics_g06_c05: 0.4274727588128585
v_FloorGymnastics_g06_c06: 0.08618981027513128
v_FloorGymnastics_g06_c07: 0.20980023216322086
v_FloorGymnastics_g07_c01: 0.14142337998997462
v_FloorGymnastics_g07_c02: 0.1528251642950569
v_FloorGymnastics_g07_c03: 0.32313022180979695
v_FloorGymnastics_g07_c04: 0.23937994519618253
v_FloorGymnastics_g07_c05: 0.3343423780482779
v_FloorGymnastics_g07_c06: 0.2967147084015796
v_FloorGymnastics_g07_c07: 0.17624146882441052
v_GolfSwing_g01_c01: 0.6471794180308387
v_GolfSwing_g01_c02: 0.6448735945783876
v_GolfSwing_g01_c03: 0.6140095446139943
v_GolfSwing_g01_c04: 0.6267285471632075
v_GolfSwing_g01_c05: 0.6267419066487455
v_GolfSwing_g01_c06: 0.6262797679445344
v_GolfSwing_g02_c01: 0.07828375990687289
v_GolfSwing_g02_c02: 0.0011338402523274542
v_GolfSwing_g02_c03: 0.0044570339988008615
v_GolfSwing_g02_c04: 0.005451171594619404
v_GolfSwing_g03_c01: 0.10604624583080009
v_GolfSwing_g03_c02: 0.09374659988605737
v_GolfSwing_g03_c03: 0.10765673788903536
v_GolfSwing_g03_c04: 0.08814272705360553
v_GolfSwing_g03_c05: 0.09573116717388164
v_GolfSwing_g03_c06: 0.08688532794753258
v_GolfSwing_g03_c07: 0.08883032079463067
v_GolfSwing_g04_c01: 0.3448811334984117
v_GolfSwing_g04_c02: 0.43976123972730846
v_GolfSwing_g04_c03: 0.6150284507097596
v_GolfSwing_g04_c04: 0.6160258104246917
v_GolfSwing_g04_c05: 0.5641489162196819
v_GolfSwing_g04_c06: 0.5910391347422596
v_GolfSwing_g05_c01: 0.10832247817519351
v_GolfSwing_g05_c02: 0.17915946743165728
v_GolfSwing_g05_c03: 0.15961689452748282
v_GolfSwing_g05_c04: 0.3954995531644147
v_GolfSwing_g05_c05: 0.11700425612153577
v_GolfSwing_g05_c06: 0.11075533401069383
v_GolfSwing_g05_c07: 0.17834662015589214
v_GolfSwing_g06_c01: 0.001338206593480244
v_GolfSwing_g06_c02: 0.001427801181482352
v_GolfSwing_g06_c03: 0.3139585606690625
v_GolfSwing_g06_c04: 0.08507255032973797
v_GolfSwing_g07_c01: 0.13525920000772435
v_GolfSwing_g07_c02: 0.14196072602668816
v_GolfSwing_g07_c03: 0.31659100008985785
v_GolfSwing_g07_c04: 0.16703741665431368
v_GolfSwing_g07_c05: 0.11518019905503453
v_HorseRiding_g01_c01: 0.21413711491908294
v_HorseRiding_g01_c02: 0.032655142618379755
v_HorseRiding_g01_c03: 0.6861709424449752
v_HorseRiding_g01_c04: 0.6424543451946959
v_HorseRiding_g01_c05: 0.8536509817740058
v_HorseRiding_g01_c06: 0.5243049639117374
v_HorseRiding_g01_c07: 0.3967136386056047
v_HorseRiding_g02_c01: 0.566792911514366
v_HorseRiding_g02_c02: 0.6440629252465442
v_HorseRiding_g02_c03: 0.7106212163172827
v_HorseRiding_g02_c04: 0.5073566623789934
v_HorseRiding_g02_c05: 0.5602667919131836
v_HorseRiding_g02_c06: 0.7457022220435022
v_HorseRiding_g02_c07: 0.4803862692605631
v_HorseRiding_g03_c01: 0.7439032352536314
v_HorseRiding_g03_c02: 0.6866042473666168
v_HorseRiding_g03_c03: 0.6825319256898308
v_HorseRiding_g03_c04: 0.6837912621035916
v_HorseRiding_g03_c05: 0.6454628346547229
v_HorseRiding_g03_c06: 0.8020241853440929
v_HorseRiding_g03_c07: 0.6917590576406641
v_HorseRiding_g04_c01: 0.6226503840483287
v_HorseRiding_g04_c02: 0.5051053942738137
v_HorseRiding_g04_c03: 0.39422250817548116
v_HorseRiding_g04_c04: 0.46557961870989234
v_HorseRiding_g04_c05: 0.4233982691293646
v_HorseRiding_g04_c06: 0.5254590173795198
v_HorseRiding_g04_c07: 0.5733852297309746
v_HorseRiding_g05_c01: 0.7056287344876111
v_HorseRiding_g05_c02: 0.6787644765791757
v_HorseRiding_g05_c03: 0.8007125415606424
v_HorseRiding_g05_c04: 0.7601507799279894
v_HorseRiding_g05_c05: 0.700582682342022
v_HorseRiding_g05_c06: 0.5539742227630032
v_HorseRiding_g05_c07: 0.2722530665172848
v_HorseRiding_g06_c01: 0.7340040622881668
v_HorseRiding_g06_c02: 0.7014944233118976
v_HorseRiding_g06_c03: 0.7257396159437941
v_HorseRiding_g06_c04: 0.7159666547862192
v_HorseRiding_g06_c05: 0.7532793909439123
v_HorseRiding_g06_c06: 0.833228002322436
v_HorseRiding_g06_c07: 0.7165134405968345
v_HorseRiding_g07_c01: 0.5115880186779096
v_HorseRiding_g07_c02: 0.5648199743166675
v_HorseRiding_g07_c03: 0.5815403715762145
v_HorseRiding_g07_c04: 0.7296511645109265
v_HorseRiding_g07_c05: 0.4681018699435335
v_HorseRiding_g07_c06: 0.6102019551956533
v_HorseRiding_g07_c07: 0.7136842609278163
v_IceDancing_g01_c01: 0.4840318788400242
v_IceDancing_g01_c02: 0.41725328303780806
v_IceDancing_g01_c03: 0.48985149666519184
v_IceDancing_g01_c04: 0.476415734240222
v_IceDancing_g01_c05: 0.4032837332751418
v_IceDancing_g01_c06: 0.48077346124650205
v_IceDancing_g01_c07: 0.42120519191772543
v_IceDancing_g02_c01: 0.3700687456629798
v_IceDancing_g02_c02: 0.38236858119498185
v_IceDancing_g02_c03: 0.32589867511918535
v_IceDancing_g02_c04: 0.38565760017041684
v_IceDancing_g02_c05: 0.2985893422208142
v_IceDancing_g02_c06: 0.485879924585624
v_IceDancing_g02_c07: 0.1880106312085677
v_IceDancing_g03_c01: 0.40293933322204345
v_IceDancing_g03_c02: 0.4850087752763191
v_IceDancing_g03_c03: 0.369462855850739
v_IceDancing_g03_c04: 0.3022693433495399
v_IceDancing_g03_c05: 0.5331405531921108
v_IceDancing_g03_c06: 0.48654268627658753
v_IceDancing_g04_c01: 0.44675359636946854
v_IceDancing_g04_c02: 0.37729421791270806
v_IceDancing_g04_c03: 0.3984219381500385
v_IceDancing_g04_c04: 0.44304552606153286
v_IceDancing_g04_c05: 2.966562508655285e-05
v_IceDancing_g04_c06: 0.2799951449477293
v_IceDancing_g04_c07: 0.41937358802320424
v_IceDancing_g05_c01: 0.5506106469753671
v_IceDancing_g05_c02: 0.5175417684894438
v_IceDancing_g05_c03: 0.5760647572863188
